MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7457,48.5,51.5,3,3,9,12,631,659,434,465,23,21,21,11,4,5,2,5,2,2,14,11,,
7458,40.5,59.5,2,7,15,17,520,709,309,472,22,23,22,51,6,4,0,1,1,1,13,11,1,0
7459,36.1,63.9,2,5,12,19,465,714,278,537,13,17,32,22,6,5,2,5,2,2,12,16,1,0
7460,32.2,67.8,3,5,9,13,460,802,272,604,22,14,27,30,5,3,4,2,2,1,14,7,1,0
7461,58.5,41.5,7,4,20,15,745,585,561,386,15,19,20,25,8,8,3,1,2,1,9,6,,
7462,54.6,45.4,8,6,17,16,593,528,402,343,29,11,13,21,7,6,3,5,,,3,9,,
7463,50.8,49.2,6,4,14,14,592,591,358,360,31,29,20,40,5,3,2,3,1,4,10,10,,
7464,67.8,32.2,7,2,24,7,853,487,622,285,17,35,37,19,7,5,2,1,0,4,8,16,,
7465,51.2,48.8,9,12,19,20,657,663,431,424,21,31,17,30,4,6,4,0,0,2,9,8,,
7466,58.3,41.7,4,9,16,16,572,487,360,266,10,9,26,64,8,3,2,2,3,1,13,10,,
7456,56.3,43.7,5,1,19,6,722,589,544,403,14,22,32,18,3,3,0,4,0,3,7,9,,
7453,64.2,35.8,2,4,16,16,685,452,484,264,20,23,20,31,7,4,2,3,4,3,18,13,,
7451,67.7,32.3,6,5,24,8,834,512,601,290,16,23,13,42,13,2,5,3,1,4,9,10,,
7452,57.2,42.8,1,9,11,21,661,555,445,339,7,17,30,63,5,4,5,0,0,5,7,16,,
7454,53.5,46.5,3,3,15,10,670,633,450,403,19,19,16,61,11,5,2,0,2,1,13,8,,
7455,58.7,41.3,12,9,29,19,679,534,443,296,17,23,18,35,9,5,0,2,1,2,7,10,,
7447,24.5,75.5,2,2,6,12,398,891,225,719,15,18,31,22,2,6,0,1,3,0,11,11,,
7448,50.9,49.1,5,6,11,19,565,548,347,341,20,20,50,27,4,6,7,3,2,4,16,13,,
7449,59.6,40.4,4,4,14,13,710,530,494,318,17,23,24,42,5,5,1,4,,,8,22,,
7450,47.5,52.5,4,2,15,22,564,586,362,388,18,16,38,20,3,12,4,2,2,2,15,9,0,1
7446,38.1,61.9,3,2,9,16,584,810,362,588,26,25,53,33,2,8,3,1,1,1,7,9,,
7445,49.1,50.9,4,9,11,17,687,684,452,475,17,25,47,31,6,5,1,1,5,2,17,12,,
7444,45.4,54.6,7,4,14,15,551,644,327,419,30,15,26,22,8,4,5,2,3,1,10,8,,
7443,26.6,73.4,5,3,12,18,388,773,193,570,23,19,31,23,2,5,2,1,1,2,7,11,,
7442,47.4,52.6,5,7,13,20,573,613,367,406,32,19,26,21,7,2,3,3,2,4,13,16,,
7436,48.3,51.7,5,2,11,8,560,607,371,403,32,20,17,20,2,5,,,2,0,6,12,,
7437,52.4,47.6,5,4,20,10,562,532,335,313,30,11,38,43,5,5,1,1,1,0,15,12,,
7438,48.6,51.4,4,3,11,12,553,599,346,380,19,16,31,40,11,6,1,1,4,2,16,16,,
7439,62.6,37.4,10,1,21,6,657,439,470,279,10,8,29,31,8,2,4,4,1,4,11,13,0,1
7441,62.1,37.9,5,3,27,10,596,435,350,215,15,23,43,57,7,3,6,2,3,0,9,17,,
7440,58.6,41.4,6,6,24,16,740,575,457,331,18,32,46,47,7,6,1,1,3,2,8,13,,
7433,42.9,57.1,1,2,8,11,459,545,287,360,15,11,31,20,0,2,1,3,2,3,12,17,1,0
7434,46.3,53.7,5,1,14,11,554,620,367,406,26,7,20,14,3,12,4,0,1,2,16,10,,
7432,54.9,45.1,2,4,10,12,685,580,462,376,22,25,28,23,3,6,2,4,2,3,16,8,,
7435,59.8,40.2,9,3,21,9,757,550,555,372,19,17,21,24,9,5,5,2,3,1,13,8,,
7426,42.1,57.9,6,0,21,13,485,572,240,335,16,18,58,45,3,10,7,3,2,1,7,10,,
7427,56.4,43.6,3,1,14,9,607,499,348,250,19,19,62,49,4,8,0,1,,,12,12,,
7429,50.3,49.7,4,3,16,10,689,682,463,464,20,15,21,46,5,4,4,5,1,0,7,14,,
7430,41,59,4,3,11,12,480,612,301,431,16,24,25,8,3,6,2,4,2,1,13,10,1,0
7428,52.4,47.6,10,1,20,13,684,672,473,430,35,31,9,23,6,5,,,3,1,12,14,,
7431,50.3,49.7,8,6,15,8,576,560,387,360,19,16,34,20,3,8,1,1,2,2,14,15,,
7425,51.9,48.1,6,4,19,14,635,607,401,378,13,28,27,36,10,7,2,0,1,1,14,10,,
7424,35.6,64.4,7,1,15,7,443,712,265,511,21,11,32,37,7,11,0,2,3,2,14,13,,
7423,32.8,67.2,3,5,14,12,440,710,245,506,15,19,33,32,4,6,,,2,3,15,16,,
7422,32.9,67.1,7,6,12,19,489,782,259,530,26,14,48,30,3,9,2,0,4,3,14,14,,
7418,59.1,40.9,6,3,21,5,729,575,526,368,15,14,19,56,13,1,2,0,1,2,10,9,,
7414,58.8,41.2,2,3,9,8,589,459,395,279,22,15,28,25,6,8,1,4,0,3,9,11,,
7415,57.1,42.9,2,2,17,11,665,542,430,328,18,24,43,33,4,4,3,1,1,1,17,8,,
7417,53.5,46.5,11,5,20,13,677,594,475,411,21,14,24,12,5,2,1,2,1,0,7,12,,
7419,44.1,55.9,6,5,15,9,528,599,294,394,22,34,19,32,7,3,1,0,1,2,12,10,,
7420,60.1,39.9,3,3,24,11,760,559,531,367,21,17,21,32,11,1,0,3,1,1,8,13,,
7421,42.4,57.6,4,5,11,19,516,646,318,433,14,17,28,43,3,5,3,3,2,2,17,20,,
7416,67.5,32.5,10,6,20,18,786,483,594,266,19,18,19,31,5,7,4,1,1,2,7,13,,
7412,57.1,42.9,6,2,20,8,717,589,548,412,14,19,10,29,7,4,2,1,0,1,9,12,,
7413,45.1,54.9,9,7,17,15,600,695,356,445,31,21,42,38,7,6,2,1,0,3,8,15,,
7411,40.6,59.4,3,5,12,19,510,669,305,470,13,21,25,31,6,7,0,2,2,2,10,11,,
7410,61.7,38.3,5,5,16,10,758,522,528,333,15,22,23,32,9,3,1,2,2,4,12,12,,
7405,44.8,55.2,3,4,10,23,534,601,323,387,22,13,39,21,4,9,4,1,,,7,10,,
7406,49.3,50.7,6,4,13,9,642,662,416,443,26,30,27,32,4,3,2,2,2,2,14,12,,
7407,54.2,45.8,5,1,18,7,581,530,359,309,22,19,34,39,10,1,1,1,1,3,10,20,,
7408,40.4,59.6,2,8,14,21,589,780,390,582,13,23,27,9,3,5,0,9,1,0,8,9,,
7409,47.1,52.9,5,8,17,24,574,625,369,414,13,17,32,27,5,11,5,3,,,8,4,,
7404,53.1,46.9,5,2,21,12,750,687,527,465,31,27,16,17,6,2,5,0,1,0,6,3,,
7403,41.1,58.9,3,6,15,17,519,723,302,456,28,21,43,39,6,4,4,5,2,2,15,9,,
7402,49.7,50.3,3,3,16,7,602,591,379,388,25,16,19,30,9,2,4,3,2,2,9,10,,
7401,64.4,35.6,2,5,15,10,615,445,407,216,15,16,24,64,13,6,4,3,0,1,15,14,,
7395,47.1,52.9,1,2,15,6,478,528,291,336,15,15,22,35,8,2,0,1,2,3,11,12,,
7396,41.7,58.3,7,6,25,14,505,596,279,395,18,16,35,29,4,10,1,2,1,0,6,11,,
7397,52.5,47.5,10,3,20,14,662,629,432,400,30,23,12,32,10,5,0,2,1,2,12,14,,
7398,47.8,52.2,8,2,19,12,670,706,472,519,12,20,20,28,7,3,3,0,,,12,8,,
7399,50.3,49.7,1,8,10,12,564,578,335,343,21,24,17,56,5,2,1,3,3,1,10,11,,
7400,61,39,5,6,16,10,665,473,455,284,19,13,44,35,10,5,,,1,3,13,17,,
7393,34.6,65.4,6,3,19,14,517,778,295,577,24,23,42,34,4,7,4,3,2,1,15,6,,
7394,50.1,49.9,9,3,16,8,614,609,412,398,19,23,26,18,6,5,3,1,2,3,9,22,,
7386,52.3,47.7,5,9,12,20,592,564,380,334,9,21,44,45,8,8,3,2,0,2,13,16,,
7387,46.7,53.3,5,2,14,10,500,539,305,340,18,17,31,31,5,7,2,7,3,2,13,17,,
7388,42.6,57.4,8,3,18,16,476,570,273,374,14,19,29,30,5,3,3,3,5,3,18,10,,
7389,35.7,64.3,5,5,15,28,500,716,259,469,20,17,61,27,5,12,0,1,1,2,10,11,,
7390,50.7,49.3,10,8,20,13,605,588,400,381,19,26,21,29,0,5,1,3,2,3,10,14,,
7385,67.5,32.5,5,2,22,7,755,474,531,255,12,21,29,44,11,4,2,4,1,2,11,11,0,1
7391,34,66,3,8,10,23,506,771,274,541,21,15,54,39,0,16,2,1,1,2,12,10,,
7392,45.7,54.3,3,4,17,11,572,639,357,436,17,22,15,31,8,2,2,0,1,1,12,13,,
7384,52.2,47.8,1,7,6,13,654,621,430,396,27,32,18,34,3,5,1,2,3,3,12,9,1,0
7383,58.7,41.3,4,1,20,5,727,557,494,340,27,24,21,33,5,1,3,0,2,4,15,14,,
7380,59.3,40.7,9,5,31,10,739,579,501,347,28,27,22,41,6,2,1,0,0,4,6,14,,
7375,58.5,41.5,2,3,11,8,656,527,474,339,14,18,20,44,8,3,4,9,1,3,17,19,,
7376,52.5,47.5,5,6,26,9,541,529,340,317,18,18,17,58,8,3,1,3,1,1,17,12,,
7378,57.5,42.5,6,2,16,13,689,576,455,331,17,35,28,46,12,5,4,0,,,9,11,1,0
7379,39.6,60.4,6,4,8,15,433,568,233,362,20,20,39,31,3,7,5,2,1,1,19,11,,
7381,26.1,73.9,2,6,4,17,445,877,232,663,16,17,44,17,2,7,5,3,1,3,10,7,,
7382,60.7,39.3,10,5,22,12,659,509,443,291,21,22,29,34,9,4,1,1,3,1,13,14,,
7377,45.1,54.9,7,2,15,14,568,664,348,438,22,22,41,51,7,5,1,2,2,0,15,19,,
7374,59,41,9,3,22,6,638,536,415,307,13,17,26,49,9,1,0,3,1,3,8,14,,
7373,44,56,4,9,15,20,590,710,371,488,21,17,41,31,3,13,0,3,,,5,9,,
7371,42.4,57.6,6,3,16,13,569,699,366,500,24,20,29,27,6,4,0,3,2,3,12,13,,
7372,53.1,46.9,4,8,18,20,648,630,442,401,22,21,26,53,7,4,0,2,0,3,11,11,,
7365,50.1,49.9,4,5,12,10,656,667,436,452,24,23,37,34,7,3,1,2,3,1,10,10,,
7364,62.6,37.4,7,3,14,8,806,551,567,338,15,30,23,27,5,6,6,5,3,3,13,10,,
7366,52.6,47.4,4,6,17,13,587,562,350,320,12,15,39,50,8,5,2,3,5,2,19,13,,
7367,55.2,44.8,7,6,20,15,624,542,368,290,21,22,46,47,9,7,2,1,2,3,12,19,0,1
7369,59.7,40.3,3,7,13,18,611,503,401,270,16,21,29,46,5,4,6,2,2,4,12,16,,
7370,56.8,43.2,7,4,23,9,684,536,470,340,18,23,35,35,7,3,4,1,0,3,14,11,,
7368,50.4,49.6,2,2,8,13,667,677,463,453,22,34,19,21,4,6,1,3,3,1,18,9,,
7363,45,55,8,2,21,10,579,663,353,444,24,26,22,29,10,2,1,2,3,1,10,14,0,1
7362,40.5,59.5,3,11,8,19,476,645,279,426,18,25,33,40,4,0,4,1,2,2,16,17,,
7361,42.2,57.8,8,6,20,17,612,743,361,506,20,23,48,31,6,8,0,1,0,1,13,8,,
7360,50.8,49.2,4,4,14,11,644,648,430,415,29,25,28,36,10,1,2,1,1,2,16,13,,
7355,59.1,40.9,9,2,22,5,760,575,562,392,15,19,10,30,10,2,1,1,0,2,5,12,0,1
7356,46.6,53.4,6,4,17,14,592,654,373,442,23,14,46,30,4,1,2,4,,,12,10,,
7357,44.9,55.1,4,5,13,20,530,618,307,381,18,22,26,32,3,5,6,2,0,2,10,14,1,0
7358,48,52,4,8,11,18,612,648,386,433,21,29,24,29,8,3,2,1,0,1,13,11,,
7359,58.5,41.5,7,0,18,6,749,578,519,375,15,20,38,52,11,4,3,3,1,1,17,10,0,1
7354,69.9,30.1,4,1,10,8,840,448,657,265,21,19,24,27,5,3,3,7,1,2,8,9,,
7353,38.5,61.5,4,5,10,26,517,722,310,514,25,11,42,15,1,7,0,3,2,0,12,8,,
7352,45,55,8,1,19,6,563,647,356,456,13,18,26,42,12,1,6,2,,,9,6,,
7351,53.1,46.9,3,4,12,11,573,505,366,325,15,9,36,37,4,6,8,5,1,3,14,14,,
7350,37.4,62.6,5,3,13,25,576,837,333,580,32,23,50,21,4,6,1,3,2,1,11,13,,
7349,47.1,52.9,3,2,10,10,564,615,349,390,25,20,34,35,4,4,1,4,1,0,15,12,,
7341,50.1,49.9,8,0,21,4,674,657,476,462,17,13,28,27,3,6,2,4,0,1,15,9,,
7347,53.8,46.2,5,4,19,13,659,612,455,391,19,28,15,40,2,3,2,2,2,4,16,14,,
7346,49.7,50.3,5,3,11,14,676,694,479,482,15,21,19,31,4,6,2,3,2,2,16,13,,
7342,60.6,39.4,4,4,10,16,596,464,391,254,16,15,44,53,3,5,,,1,0,16,17,,
7343,42.8,57.2,0,2,7,15,489,576,286,361,21,11,37,21,2,11,3,1,1,3,12,11,,
7344,49.6,50.4,1,2,18,7,630,612,352,348,26,46,28,33,4,8,3,3,2,1,14,14,0,1
7345,52.7,47.3,4,2,19,14,648,612,421,373,35,24,16,33,8,5,0,3,1,3,11,17,,
7348,40.9,59.1,10,9,19,21,542,672,318,446,16,24,42,23,4,8,3,3,2,3,12,14,,
7340,54.8,45.2,4,2,18,8,594,547,377,313,13,23,30,56,5,4,2,5,3,1,18,13,,
7339,56.6,43.4,1,3,20,8,716,573,526,388,16,21,20,25,4,3,3,2,1,1,10,10,,
7335,43.7,56.3,5,5,19,13,462,561,241,333,12,21,33,46,12,4,2,1,1,3,8,16,,
7331,55.7,44.3,3,5,11,14,685,588,483,377,22,21,26,32,3,6,2,1,3,2,15,12,,
7332,55.5,44.5,10,4,24,12,616,540,390,313,17,20,33,40,9,5,2,2,0,1,12,18,,
7333,52.5,47.5,8,4,16,16,623,570,439,389,16,18,19,16,8,8,3,1,1,2,14,11,,
7334,48.5,51.5,9,7,24,13,543,585,355,400,16,14,11,34,12,6,7,5,2,3,15,15,0,1
7336,53.4,46.6,7,1,20,12,627,560,371,324,26,20,57,37,6,6,4,0,1,3,12,18,,
7337,46,54,7,4,12,13,538,547,300,333,29,25,42,16,4,9,3,4,1,2,13,14,,
7338,41.7,58.3,4,4,9,15,560,707,350,487,18,20,38,18,4,6,2,3,2,2,9,13,,
7325,46.7,53.3,5,7,18,15,610,656,371,441,12,20,38,53,5,4,1,2,0,2,9,12,,
7326,46.3,53.7,7,3,18,6,595,675,380,438,20,16,26,50,4,4,1,1,2,1,13,12,,
7327,57,43,4,8,21,13,687,599,428,333,26,33,37,61,9,6,3,2,0,1,10,14,,
7328,42.6,57.4,4,1,14,13,545,652,292,423,23,16,55,42,8,3,4,4,1,3,15,8,,
7329,49.1,50.9,9,3,16,5,584,578,366,381,27,20,31,22,5,7,6,0,0,3,15,20,,
7330,66.7,33.3,7,1,15,8,725,459,507,245,28,23,21,29,7,0,1,2,1,4,6,8,,
7321,58.1,41.9,6,3,18,8,694,510,467,319,24,21,33,20,5,7,1,2,3,5,13,16,,
7323,35.7,64.3,4,14,6,28,535,818,316,582,23,24,39,15,0,6,2,5,1,2,10,13,,
7322,44.2,55.8,10,4,23,12,595,694,397,503,14,15,17,24,5,5,4,5,,,8,7,,
7324,55.4,44.6,6,5,21,13,617,549,414,336,18,24,15,37,8,5,3,2,4,5,14,13,,
7320,53.5,46.5,3,5,14,11,753,677,519,452,30,25,32,31,6,2,6,0,0,1,11,13,,
7318,42.4,57.6,3,10,7,23,575,731,376,499,10,20,43,33,6,8,0,3,1,2,13,10,,
7319,54.1,45.9,6,8,21,12,657,564,444,361,9,24,21,33,5,3,0,2,2,3,10,13,,
7317,47.9,52.1,4,9,12,16,680,747,444,500,29,22,28,38,4,3,4,2,,,8,5,,
7316,44.6,55.4,6,6,18,24,574,645,319,403,28,26,33,39,9,9,1,2,0,1,4,7,,
7315,58.2,41.8,3,9,13,16,682,567,450,331,21,21,20,61,5,4,3,2,0,3,6,18,,
7308,62.4,37.6,10,0,24,3,778,536,596,359,18,24,10,33,8,1,4,3,0,1,7,14,0,1
7310,56.8,43.2,8,5,14,13,667,561,420,328,22,24,37,34,10,4,1,6,2,0,14,15,,
7311,60.1,39.9,4,5,12,15,678,560,443,318,24,23,35,56,12,2,1,7,1,1,11,14,0,1
7312,62.8,37.2,4,1,15,10,705,487,498,291,17,21,35,41,2,2,5,0,1,1,11,11,0,1
7313,55.9,44.1,8,1,23,5,649,535,476,368,11,9,21,21,10,3,3,2,,,11,5,,
7314,35.9,64.1,4,5,15,14,493,743,303,553,19,16,19,35,1,4,1,0,,,12,7,,
7309,32,68,7,3,9,25,524,882,281,640,31,19,45,25,2,13,1,2,1,1,12,12,,
7307,56.4,43.6,2,4,18,7,648,547,427,341,22,19,19,43,8,2,1,2,2,3,9,20,0,1
7304,52.4,47.6,4,4,19,17,618,586,404,345,20,19,33,31,5,7,1,1,1,2,14,15,,
7306,48.4,51.6,4,2,13,11,495,515,263,296,25,19,38,34,5,6,4,4,1,1,16,7,,
7305,56.1,43.9,11,4,20,10,610,504,373,288,20,25,44,44,10,6,5,0,3,0,17,18,,
7298,64.9,35.1,6,2,31,4,789,529,536,299,22,25,23,48,14,1,1,3,1,0,11,7,,
7299,50.4,49.6,8,5,17,15,618,564,380,375,13,21,56,26,11,8,5,3,,,11,9,,
7300,36.5,63.5,6,5,16,12,444,587,204,379,22,18,51,25,5,5,3,0,0,2,7,13,,
7301,49.5,50.5,7,2,21,13,563,582,346,365,22,17,26,48,4,4,7,3,1,2,12,12,,
7303,47.3,52.7,4,5,8,14,574,617,375,412,23,19,41,26,3,11,2,4,4,2,23,9,,
7302,30.4,69.6,3,11,9,21,483,849,263,619,23,26,33,31,4,10,2,2,1,0,9,8,,
7297,46.4,53.6,6,5,12,12,626,658,389,444,22,32,30,17,3,3,3,2,1,3,11,15,,
7290,61.4,38.6,5,0,16,5,792,576,584,357,26,23,15,33,7,2,3,5,0,2,6,13,1,1
7291,52.2,47.8,1,3,11,14,593,575,375,344,15,19,33,48,5,9,3,4,3,2,9,13,1,1
7295,51.6,48.4,9,3,14,13,600,585,394,373,23,23,25,36,4,3,3,5,0,4,12,13,,
7296,32.2,67.8,2,3,3,19,447,752,249,535,22,14,37,19,4,9,2,3,0,1,15,13,,
7292,32.9,67.1,4,5,10,14,503,726,251,525,21,15,51,20,0,7,3,2,2,1,14,14,,
7293,52.5,47.5,5,4,16,13,613,584,381,368,17,13,22,55,9,5,0,2,0,4,12,10,,
7294,46.5,53.5,10,4,21,14,545,619,346,399,24,12,39,38,3,3,1,2,1,0,18,13,,
7287,59,41,9,5,24,16,707,561,478,338,14,15,40,32,3,7,1,4,0,1,11,9,,
7288,50.8,49.2,5,3,13,16,699,681,446,444,37,30,40,38,7,4,0,2,0,1,7,11,,
7289,64.3,35.7,2,1,19,5,781,510,575,310,14,25,28,28,6,1,4,0,,,6,11,,
7285,60.9,39.1,7,5,22,17,704,529,473,293,24,31,23,31,9,6,0,1,2,7,20,13,,
7286,51.2,48.8,2,4,9,15,567,557,353,323,22,24,35,30,3,3,1,3,2,2,15,16,,
7283,47.7,52.3,3,4,21,6,604,627,402,434,16,18,19,34,4,5,1,3,1,3,9,15,,
7278,62.6,37.4,5,4,26,15,766,542,489,290,17,24,33,42,7,4,4,0,2,2,13,16,,
7279,52.2,47.8,3,6,22,10,673,619,459,417,12,31,20,36,10,4,6,2,,,11,10,,
7280,35.9,64.1,1,2,8,15,476,667,245,432,27,20,44,43,1,5,4,0,4,1,13,10,,
7281,51.8,48.2,4,0,14,11,630,577,392,366,20,26,43,25,3,2,2,1,1,2,13,9,,
7282,55.5,44.5,5,2,15,14,798,669,591,462,15,17,45,29,5,1,2,2,2,1,12,11,,
7284,48.1,51.9,7,3,13,16,549,573,316,343,12,19,63,42,5,10,5,0,1,1,9,15,,
7277,50.4,49.6,1,11,7,19,607,632,412,419,27,13,22,45,4,5,6,0,3,1,8,9,,
7274,57.8,42.2,7,3,16,10,639,487,429,310,11,23,15,18,6,3,10,3,1,2,12,26,,
7276,39.3,60.7,5,6,8,17,616,827,384,605,34,38,28,24,3,4,1,0,1,0,18,11,1,0
7275,56.4,43.6,3,2,13,8,678,585,476,352,16,20,32,37,2,8,5,4,1,1,8,11,,
7268,49.9,50.1,6,4,13,9,648,635,474,485,20,17,19,11,7,6,2,0,1,2,14,14,,
7269,48.3,51.7,2,3,16,5,523,604,318,355,15,22,24,80,9,2,2,3,1,2,8,14,,
7270,53,47,11,4,31,9,715,676,479,438,19,27,16,62,9,2,6,1,2,0,7,5,,
7271,55,45,8,4,16,12,596,489,381,302,18,18,31,28,9,7,5,2,2,4,9,16,1,0
7272,62.2,37.8,5,4,24,7,634,442,430,253,11,13,25,35,8,5,4,0,1,3,11,14,1,1
7273,37.5,62.5,0,3,14,16,482,693,283,465,15,19,24,32,4,7,1,3,1,0,12,19,,
7267,42.7,57.3,2,4,11,14,576,726,386,533,11,16,18,37,4,4,0,1,3,3,11,11,,
7266,55.1,44.9,6,1,10,12,763,631,528,429,29,32,30,18,4,6,5,7,2,3,13,17,,
7262,64.4,35.6,5,4,20,14,768,520,553,303,15,17,40,44,8,4,0,4,1,1,13,11,,
7260,56.8,43.2,3,5,11,12,529,473,340,252,16,21,41,45,5,3,0,4,1,4,13,20,,
7261,44.8,55.2,6,4,14,16,592,654,367,441,22,13,37,21,5,7,3,3,1,1,8,10,,
7263,56.6,43.4,7,1,16,6,778,610,595,445,14,17,27,29,5,3,1,1,0,2,11,11,,
7264,56.6,43.4,5,3,24,10,697,586,448,353,28,25,20,43,6,3,1,4,1,5,8,16,,
7265,54.6,45.4,3,6,10,15,636,611,386,332,25,24,15,65,7,3,1,3,1,3,7,15,,
7259,57.3,42.7,10,4,28,13,628,574,426,339,16,13,8,68,8,4,1,1,3,3,13,10,0,1
7258,68.2,31.8,7,2,33,6,833,515,615,286,26,22,9,37,10,0,2,2,2,1,10,13,1,1
7257,47.4,52.6,5,3,13,13,601,610,346,376,21,24,53,32,2,4,3,0,1,3,8,13,,
7256,52,48,3,2,14,11,576,547,366,341,21,14,33,39,9,4,3,6,2,3,12,10,,
7255,46.1,53.9,6,5,17,11,635,737,430,499,27,20,26,33,5,4,3,0,0,4,9,17,,
7252,49.6,50.4,6,6,14,21,547,549,317,303,18,17,44,44,3,10,0,2,3,3,14,16,1,0
7254,45.9,54.1,8,0,17,3,513,570,305,387,10,10,39,30,7,2,4,5,2,4,11,16,,
7253,38.6,61.4,1,8,10,15,560,736,324,530,25,24,50,14,1,7,1,5,2,2,10,14,,
7246,43,57,2,2,11,17,484,580,267,373,24,15,31,23,6,12,5,3,0,2,9,15,,
7247,49.8,50.2,5,2,14,6,605,628,363,373,26,34,23,56,9,4,8,2,2,4,12,20,,
7248,54.5,45.5,9,0,18,13,655,593,428,363,17,15,48,46,3,3,1,5,0,1,15,10,,
7250,42.5,57.5,4,3,22,12,463,626,263,386,17,15,29,71,10,4,0,2,0,2,12,11,,
7251,38.8,61.2,3,8,17,14,531,721,312,513,16,25,31,37,2,6,1,1,1,3,10,15,,
7249,44.9,55.1,3,5,7,21,583,672,381,453,19,28,37,16,2,5,2,3,2,1,21,13,,
7245,48.9,51.1,6,3,13,8,715,730,514,535,16,23,18,31,4,3,3,0,0,1,13,13,,
