MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7837,58.4,41.6,4,4,19,10,736,583,560,402,14,21,9,39,8,2,3,4,1,0,14,4,,
7838,46.9,53.1,10,3,17,11,560,610,372,441,20,20,26,16,4,3,3,1,2,2,18,16,1,0
7839,81.3,18.7,15,3,44,3,932,378,710,164,15,22,5,57,19,0,1,1,1,1,4,7,0,1
7840,58.9,41.1,8,5,23,10,703,525,515,343,12,11,34,18,8,6,3,3,1,2,7,11,,
7841,50.9,49.1,7,4,17,20,556,519,290,272,13,23,68,45,5,9,2,2,1,1,10,5,,
7842,35.5,64.5,2,7,8,21,525,815,337,628,20,24,27,24,1,9,,,3,3,14,11,,
7843,62.4,37.6,4,5,13,13,809,533,606,355,19,22,20,13,6,5,1,0,1,1,7,6,,
7844,51,49,6,5,17,11,711,668,534,509,25,16,22,14,8,3,0,3,0,2,9,12,,
7845,41.7,58.3,5,3,13,13,509,653,326,466,16,29,18,24,9,5,4,3,0,1,12,11,,
7846,52,48,8,4,14,9,635,627,472,431,23,19,14,27,9,2,2,0,1,2,15,9,,
7836,53.2,46.8,6,2,23,11,637,578,459,394,21,20,20,17,7,4,3,0,2,4,17,14,,
7835,36.7,63.3,2,6,12,20,463,683,257,461,18,10,22,29,5,6,0,2,2,1,14,13,,
7832,43.7,56.3,3,8,15,21,591,715,383,501,27,20,21,27,2,6,1,3,4,3,12,8,,
7828,37.5,62.5,1,4,4,22,503,712,292,489,30,22,45,26,4,19,2,1,1,2,11,8,0,1
7829,37.6,62.4,5,10,15,19,511,694,292,501,20,12,29,17,4,4,3,8,1,4,16,10,,
7830,56.8,43.2,8,6,22,13,783,664,621,460,17,19,16,26,8,2,0,3,,,8,13,,
7833,54.6,45.4,6,0,22,8,578,515,341,283,20,22,47,52,7,3,1,0,,,10,16,,
7834,43.2,56.8,0,4,9,21,596,702,366,492,23,16,46,15,3,7,4,9,,,9,10,,
7831,59.8,40.2,7,6,28,13,820,627,579,402,26,20,20,45,16,3,,,1,0,12,6,,
7827,63.4,36.6,11,4,23,13,742,500,506,286,9,22,23,46,6,1,1,6,2,3,9,15,,
7826,63.4,36.6,3,4,18,13,745,522,549,309,18,21,23,39,4,4,3,4,0,3,10,7,,
7825,46.9,53.1,5,7,15,14,603,698,415,481,18,19,14,27,4,7,2,3,2,1,6,9,,
7823,59.5,40.5,4,4,21,10,755,590,574,392,22,16,7,28,5,4,5,0,,,12,8,,
7824,39.1,60.9,3,4,11,11,492,647,268,426,18,11,59,46,4,6,1,0,2,1,6,14,,
7822,52.5,47.5,3,0,15,5,690,627,449,398,18,37,29,45,8,8,1,0,3,2,11,15,,
7820,56.7,43.3,13,2,30,13,698,548,524,384,11,20,13,22,8,5,3,3,0,1,9,8,,
7821,70.6,29.4,5,0,19,0,904,457,695,282,22,21,22,29,6,1,1,2,,,6,15,,
7813,52.4,47.6,7,2,12,6,783,705,615,557,24,12,22,13,3,4,4,2,1,1,14,10,,
7815,37.1,62.9,2,5,5,17,499,735,290,515,22,15,48,35,2,5,5,2,1,2,8,11,,
7816,52,48,3,6,12,16,596,555,375,354,18,24,38,37,7,5,2,2,1,0,9,20,,
7817,55,45,7,6,11,17,690,597,516,406,20,16,30,20,2,6,1,0,2,1,8,10,,
7818,55.5,44.5,3,3,20,12,574,493,383,306,19,15,26,27,10,3,3,5,0,4,15,16,,
7819,57.1,42.9,6,2,10,11,665,542,509,387,16,16,17,12,4,1,3,5,2,1,15,12,,
7814,44.4,55.6,1,5,9,16,641,755,451,568,21,12,37,23,5,7,2,5,4,0,9,4,,
7812,43.8,56.2,4,6,18,15,518,627,292,386,22,18,15,35,9,6,6,3,1,2,9,16,,
7810,52.5,47.5,7,7,24,17,751,685,523,486,20,24,18,38,5,2,2,1,1,2,9,12,,
7809,63.3,36.7,6,3,30,9,806,553,564,332,14,26,20,48,15,3,2,4,2,0,12,8,,
7811,51.8,48.2,3,5,6,17,676,662,475,463,16,25,24,35,7,4,2,4,0,1,6,12,,
7803,44.6,55.4,4,3,13,13,548,616,315,402,21,22,30,26,8,5,2,2,0,1,11,9,0,1
7808,31,69,3,6,12,20,479,795,265,585,18,16,33,15,4,13,2,1,3,0,13,11,1,0
7802,56.7,43.3,4,2,13,14,697,576,496,381,24,22,20,28,7,7,5,4,3,4,12,11,,
7804,42.7,57.3,3,3,8,13,496,610,285,400,9,19,41,57,9,7,4,1,1,1,10,13,,
7805,38.1,61.9,2,4,10,26,493,717,284,480,13,14,34,42,8,10,2,5,2,1,19,8,,
7806,51.2,48.8,4,4,14,10,669,648,492,482,15,16,11,23,4,0,2,1,1,2,11,16,,
7807,58.1,41.9,9,0,17,8,699,559,527,365,21,23,21,31,4,5,2,2,0,2,9,10,,
7801,64.3,35.7,5,7,23,15,771,533,558,309,17,26,12,37,9,3,1,3,2,3,16,15,,
7800,65.3,34.7,9,2,29,12,753,492,548,289,26,16,26,24,11,4,1,0,3,3,9,8,,
7796,47.4,52.6,6,11,16,23,688,789,482,557,18,22,23,39,3,5,0,4,1,2,10,5,,
7797,51.1,48.9,3,5,15,11,585,577,363,348,22,15,33,49,8,4,1,1,0,1,4,12,,
7798,73.2,26.8,8,2,22,8,810,391,612,214,19,19,20,27,7,3,2,0,0,2,8,14,,
7799,47.9,52.1,5,2,15,18,568,622,378,411,17,16,14,28,6,8,3,4,3,1,13,10,,
7792,64.9,35.1,7,1,19,5,893,556,721,383,15,20,11,17,6,2,1,1,,,8,10,,
7794,44.9,55.1,3,1,13,9,550,637,367,449,20,27,22,25,7,3,2,2,1,2,8,14,,
7795,28,72,2,7,10,12,481,974,304,828,19,13,20,12,6,4,3,0,3,0,8,4,1,0
7793,40.2,59.8,6,2,18,11,543,732,360,539,16,16,24,25,6,9,1,1,2,0,10,9,,
7791,52.2,47.8,6,6,15,16,542,530,375,354,14,15,11,34,4,4,2,5,4,5,16,14,0,1
7787,58.5,41.5,5,0,22,3,765,579,567,388,18,16,25,20,5,2,3,3,0,2,7,12,,
7789,50.9,49.1,3,3,8,9,581,583,401,377,11,16,24,32,6,5,7,2,1,1,7,18,,
7790,58.8,41.2,3,4,15,12,664,526,429,312,17,17,40,56,9,3,4,5,1,2,14,12,,
7786,53.7,46.3,3,2,7,8,570,509,391,316,16,9,48,44,5,4,0,1,3,0,10,10,,
7788,46.6,53.4,7,3,10,15,659,718,471,539,25,16,33,18,7,11,4,2,1,3,6,16,,
7785,72.4,27.6,10,0,27,9,918,463,734,270,18,19,14,41,11,5,3,0,1,0,13,11,0,1
7784,64.5,35.5,5,0,13,6,758,528,539,297,27,17,14,43,7,6,3,5,2,3,14,16,0,1
7782,29.3,70.7,3,1,12,16,456,905,267,684,22,24,32,28,11,4,1,2,2,2,13,11,,
7777,52.4,47.6,1,6,12,11,633,627,449,428,12,17,26,43,5,3,0,4,1,0,12,10,,
7778,54.7,45.3,8,4,20,11,636,557,434,368,20,26,16,21,5,3,3,5,2,2,14,12,,
7779,69.6,30.4,5,2,24,5,826,466,612,261,12,12,16,61,11,3,1,0,1,1,5,10,,
7780,48.3,51.7,6,5,15,10,627,673,431,469,17,13,45,25,2,4,3,2,0,3,7,18,,
7783,47.2,52.8,5,7,13,16,579,631,399,466,15,11,17,19,8,4,7,2,1,1,7,9,0,1
7781,46.2,53.8,4,4,13,12,508,548,298,343,14,13,56,43,3,8,3,1,1,1,8,12,,
7776,77,23,8,3,19,5,1081,439,912,270,13,16,8,18,7,0,0,1,1,1,10,9,,
7775,26.7,73.3,4,5,11,13,443,915,254,701,15,15,42,40,2,10,0,1,1,1,11,5,,
7773,48.6,51.4,3,2,10,9,643,624,453,462,17,19,28,14,3,6,2,5,3,3,10,12,0,1
7774,40.7,59.3,9,2,20,11,621,805,404,609,31,22,12,17,7,6,1,2,,,10,12,,
7766,44.4,55.6,5,7,9,13,518,625,328,444,13,7,27,43,6,4,2,3,1,0,15,6,,
7767,53.3,46.7,7,2,17,9,679,619,481,414,17,13,23,26,5,2,1,3,2,1,8,12,,
7768,38.1,61.9,8,4,15,16,598,855,405,664,19,16,41,26,6,7,3,0,1,2,12,9,,
7769,64.1,35.9,7,3,26,9,751,483,527,294,12,22,21,48,17,5,2,0,1,1,12,14,,
7770,32.3,67.7,6,6,11,13,510,839,295,649,32,24,24,16,4,6,6,3,5,2,15,10,,
7771,60.8,39.2,6,1,14,5,631,480,449,284,21,13,26,40,8,1,0,5,2,4,16,14,,
7772,50.9,49.1,6,7,16,20,541,532,295,302,14,15,56,40,13,5,4,0,1,1,12,11,,
7765,59.5,40.5,9,2,21,7,906,680,708,487,15,22,32,30,7,1,2,0,1,0,17,6,,
7764,51.1,48.9,2,7,17,11,620,627,413,418,22,18,8,42,10,4,4,3,0,1,11,4,,
