MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
7077,64.3,35.7,6,0,18,3,863,546,646,356,18,27,14,21,5,2,6,4,2,2,13,10,,
7078,65.1,34.9,8,1,18,11,645,454,434,238,22,22,28,48,11,5,1,3,2,1,14,13,,
7079,41.5,58.5,6,7,15,14,548,670,292,432,23,7,46,23,3,6,3,3,2,5,19,17,,
7080,50.2,49.8,7,6,16,16,653,635,394,370,18,21,42,26,5,6,1,2,,,12,11,,
7081,53.1,46.9,10,2,19,4,686,595,466,415,18,13,13,18,2,3,5,3,2,3,14,10,0,1
7082,63.3,36.7,8,4,22,11,786,547,536,320,13,18,14,30,13,1,0,5,,,11,12,,
7083,40.4,59.6,3,3,11,21,593,791,333,523,25,30,34,26,2,6,3,0,1,0,16,11,,
7084,60.8,39.2,6,6,21,7,705,535,494,320,25,17,30,32,9,2,2,3,2,0,11,5,,
7085,35.9,64.1,5,4,13,18,604,887,332,607,30,24,33,12,4,3,1,3,2,0,13,7,,
7086,55.3,44.7,7,4,18,11,649,575,388,315,19,21,24,36,4,1,1,4,1,0,13,20,0,2
7075,62.8,37.2,3,2,13,7,828,586,576,343,17,17,30,33,8,3,1,5,1,3,7,6,,
7076,54.1,45.9,3,4,13,13,666,610,385,332,24,17,21,41,9,8,6,3,0,3,13,20,,
7074,63.6,36.4,3,3,14,6,832,574,561,313,21,33,17,24,8,1,1,6,2,0,11,14,,
7073,29.9,70.1,6,3,11,7,419,707,199,462,20,15,39,39,5,8,4,2,2,2,20,16,,
7071,56.2,43.8,1,10,11,17,750,643,492,381,24,25,18,31,9,5,2,4,1,2,9,7,,
7070,49.2,50.8,2,5,7,8,668,716,462,490,25,29,31,40,9,3,1,3,,,14,17,,
7072,48.3,51.7,1,5,11,16,703,738,401,438,33,31,28,31,9,4,1,0,3,2,11,10,,
7065,52.9,47.1,3,4,14,13,700,619,441,379,20,15,26,29,7,8,5,0,2,1,12,12,,
7066,53.9,46.1,6,4,20,11,708,633,419,362,23,22,34,39,12,4,2,0,1,2,7,10,,
7067,44.3,55.7,6,9,13,20,483,545,284,351,11,13,41,20,7,9,5,2,0,1,11,13,,
7068,45.6,54.4,3,2,14,11,561,637,329,376,18,24,24,56,6,5,1,2,,,10,10,,
7069,55.1,44.9,6,2,20,12,712,578,376,300,21,33,42,38,11,5,5,3,0,3,13,12,,
7061,50.8,49.2,6,7,12,16,594,561,322,309,25,31,42,19,6,5,0,1,1,4,14,17,,
7062,45.8,54.2,4,7,16,15,694,750,379,448,24,34,38,41,4,5,1,1,2,1,14,13,,
7064,55.3,44.7,7,3,17,8,753,630,513,426,21,29,35,46,10,3,1,0,0,1,7,15,,
7063,70.3,29.7,14,0,33,3,793,431,549,215,16,15,15,24,7,0,0,2,0,3,15,13,,
7058,56.4,43.6,6,3,19,9,714,588,436,336,23,16,32,37,4,4,4,1,1,0,14,10,,
7056,54.2,45.8,10,5,16,16,648,593,360,314,28,21,22,30,12,5,1,1,1,1,17,14,,
7057,54.6,45.4,5,5,15,11,632,569,346,280,30,20,35,56,3,6,1,2,1,3,14,17,1,1
7059,45.4,54.6,6,5,11,14,583,631,337,404,32,23,37,30,4,5,1,1,1,2,13,12,,
7060,59,41,2,8,15,13,654,508,377,253,14,21,43,54,4,4,4,4,0,1,12,10,,
7055,59.3,40.7,4,1,13,3,778,621,498,348,20,32,10,39,4,1,2,3,4,2,14,14,,
7054,49.9,50.1,5,5,15,11,621,636,364,375,15,25,16,46,11,9,2,3,2,2,8,8,,
7053,65.2,34.8,6,2,22,5,829,533,579,304,32,33,15,34,8,2,2,1,0,2,9,13,,
7052,49.9,50.1,8,7,19,12,683,680,395,397,33,28,11,28,8,3,2,2,2,1,15,16,,
7051,42.7,57.3,6,9,19,13,630,756,346,450,25,24,30,26,7,6,3,1,,,5,12,,
7044,49.9,50.1,2,3,13,12,624,652,369,386,22,17,37,38,8,1,0,3,,,12,13,,
7045,37.1,62.9,6,5,19,12,461,703,253,435,16,22,32,62,4,2,3,0,3,2,15,13,,
7046,56.7,43.3,0,1,14,9,684,571,427,322,14,12,41,46,5,9,2,2,1,0,10,10,,
7050,40.7,59.3,8,4,23,12,591,756,322,496,25,25,28,27,13,4,5,1,2,3,11,17,0,1
7047,43.7,56.3,4,3,9,15,628,701,339,441,19,31,38,22,7,5,2,3,2,1,8,12,,
7048,47.7,52.3,4,3,11,13,557,577,286,325,23,22,34,54,5,1,2,0,1,2,11,5,,
7049,49.2,50.8,9,2,17,10,579,587,304,332,17,23,47,45,3,3,3,1,3,2,14,18,,
7041,55.1,44.9,4,4,15,14,643,554,428,346,18,18,32,36,7,7,3,0,2,2,11,10,,
7043,61.5,38.5,8,1,24,6,751,536,484,297,21,25,8,40,9,3,1,2,2,1,16,9,,
7042,34.1,65.9,5,6,15,23,602,883,291,577,27,24,46,28,4,6,4,2,3,1,13,10,,
7040,61.8,38.2,8,0,21,12,756,518,474,277,21,28,39,24,5,2,2,3,1,4,13,22,,
7039,58.6,41.4,4,1,11,14,584,473,302,208,14,19,82,44,7,6,0,1,,,7,6,,
7036,33.6,66.4,1,4,9,16,524,813,291,561,20,11,35,28,1,7,4,1,1,2,12,13,,
7037,65.1,34.9,7,1,25,3,882,585,594,322,20,27,13,46,10,1,2,0,1,3,8,19,,
7038,53,47,8,2,23,9,746,645,482,427,21,22,32,24,8,4,3,1,0,3,12,10,,
7034,50.6,49.4,4,7,14,10,532,539,284,284,19,21,39,65,6,1,1,3,5,1,19,14,,
7035,43.8,56.2,3,3,12,10,609,652,317,398,18,23,49,27,2,7,3,1,1,3,15,21,,
7031,41.5,58.5,3,3,10,20,650,814,382,537,21,19,37,23,4,4,1,0,2,1,15,9,,
7033,52.6,47.4,5,3,8,16,739,743,446,406,33,25,38,38,6,3,2,3,1,2,13,11,,
7032,57.5,42.5,2,5,12,15,705,601,449,333,29,23,25,48,2,8,2,4,2,3,7,17,,
7027,52.8,47.2,3,3,11,10,723,692,467,431,20,26,16,34,3,3,2,1,3,2,13,12,,
7024,64.6,35.4,9,3,26,5,804,545,526,293,16,33,13,43,10,3,0,3,0,2,12,14,0,1
7025,52.4,47.6,5,5,19,16,625,624,350,317,30,15,29,57,5,8,1,4,4,1,13,14,,
7028,50.6,49.4,2,5,8,16,638,610,366,329,20,18,44,23,1,9,2,3,1,1,13,9,1,0
7029,40.6,59.4,3,1,11,8,465,576,239,357,18,13,34,46,3,2,5,2,3,2,14,13,,
7030,53.9,46.1,11,7,14,14,634,547,350,292,27,16,33,27,6,6,2,2,2,0,18,16,,
7026,46.4,53.6,4,9,17,20,667,761,403,482,15,17,27,33,6,7,2,1,,,8,10,,
7023,59.3,40.7,6,2,13,11,775,602,496,341,29,33,14,26,3,4,8,0,3,2,13,13,0,1
7021,59.7,40.3,1,4,5,13,609,533,381,260,14,17,41,61,8,2,1,6,3,2,15,13,,
7022,63.2,36.8,9,2,29,7,838,585,534,314,22,34,20,44,9,2,1,0,0,1,11,9,,
7014,43.7,56.3,4,8,9,15,630,711,347,431,32,21,32,20,2,6,6,2,3,2,14,14,,
7016,60.4,39.6,9,2,17,10,778,588,513,331,25,20,20,35,8,6,4,3,3,2,13,9,,
7017,38.3,61.7,5,4,10,15,483,673,272,450,12,18,39,42,6,8,2,1,2,4,11,19,,
7018,52.2,47.8,5,3,20,9,679,626,401,386,35,22,27,24,11,2,4,1,0,1,7,10,,
7019,54.8,45.2,4,3,17,13,593,542,326,254,19,20,69,58,6,7,1,4,0,2,16,16,,
7020,53.6,46.4,0,10,10,24,665,597,398,327,19,15,51,56,3,7,1,3,1,1,14,12,,
7015,45.8,54.2,5,6,18,13,575,677,365,433,20,17,34,54,11,6,0,2,,,15,16,,
7010,48,52,4,3,16,10,608,647,325,370,20,21,38,50,6,7,4,4,,,8,7,,
7012,59.9,40.1,4,3,17,10,763,578,500,334,15,21,21,49,7,4,5,1,3,2,11,13,,
7013,40.2,59.8,0,9,9,18,542,725,326,497,14,16,29,22,1,7,1,3,3,2,11,14,,
7011,41.8,58.2,3,2,9,9,544,659,304,423,13,17,46,26,5,6,3,0,2,1,18,10,,
7009,55.2,44.8,9,3,21,5,674,615,417,350,18,22,40,50,7,5,2,1,0,2,9,24,,
7007,54.2,45.8,3,8,13,17,827,748,563,490,17,18,21,39,4,2,5,1,,,8,13,,
7006,,,,,,,,,,,,,,,,,,,,,,,,
7008,55.2,44.8,5,2,12,5,776,658,535,428,25,29,14,18,1,2,1,3,2,3,11,17,,
7000,53.3,46.7,3,3,19,8,608,547,364,340,18,16,51,52,7,5,,,1,2,11,14,,
7001,66.6,33.4,6,3,21,9,793,514,512,259,17,25,26,52,6,1,0,1,1,1,15,17,0,1
7002,59,41,3,2,19,9,703,565,455,310,10,16,20,31,11,1,2,6,1,1,7,9,,
7003,42.4,57.6,2,6,10,18,556,710,300,411,22,17,23,44,6,7,0,1,1,2,7,9,1,0
7004,43.5,56.5,7,9,16,26,612,709,312,420,27,21,45,22,6,10,2,0,0,1,8,9,,
7005,55.1,44.9,5,3,21,13,631,539,318,267,25,18,39,53,5,3,1,0,1,3,11,14,,
6999,55.7,44.3,4,3,11,10,788,678,525,414,30,35,10,32,4,2,1,2,1,4,10,27,1,0
6998,54,46,3,7,13,20,586,556,345,293,23,26,49,53,7,8,1,5,2,1,10,19,,
6997,64.9,35.1,9,3,25,9,830,565,598,321,21,17,13,26,8,4,0,1,0,2,10,16,,
6995,56.8,43.2,9,3,35,8,836,686,548,440,15,14,16,38,10,0,2,2,1,1,7,12,,
6996,45,55,4,7,15,17,632,724,356,435,30,19,33,22,3,6,2,3,2,4,12,12,,
6994,55.5,44.5,6,1,16,12,711,576,437,346,25,17,49,31,5,6,6,1,,,12,8,,
6988,48.7,51.3,4,6,9,14,647,692,417,425,18,13,25,36,5,4,0,4,1,1,15,12,,
6989,40.6,59.4,5,5,9,14,533,669,248,364,40,21,39,38,3,6,3,1,1,2,23,14,,
6990,53.9,46.1,8,3,20,7,544,502,335,294,14,16,31,49,11,6,2,6,1,4,10,22,,
6991,60.9,39.1,9,2,32,7,844,648,558,371,29,25,16,54,11,1,2,3,0,1,13,10,,
6993,41.3,58.7,3,3,16,12,507,631,236,357,9,17,45,73,8,6,2,2,0,4,7,8,,
6992,32.9,67.1,1,4,9,18,511,792,244,511,30,22,37,19,2,8,2,2,1,2,16,13,1,0
6987,54.7,45.3,4,2,12,10,627,564,370,311,12,15,46,41,3,4,0,3,2,0,13,11,,
6985,51,49,4,4,13,13,673,674,411,417,19,18,25,46,6,5,2,4,1,2,12,15,,
6986,50.9,49.1,8,1,13,12,689,664,385,364,38,28,55,28,2,7,4,1,2,1,14,11,0,1
6984,38.3,61.7,4,0,13,13,659,848,331,543,34,45,37,33,4,7,0,1,1,5,15,14,,
6983,55.4,44.6,7,3,21,8,664,563,447,371,17,18,37,39,4,1,1,0,0,1,12,23,,
6980,64.8,35.2,10,6,28,9,831,548,537,290,22,19,18,40,8,2,2,0,0,4,9,12,,
6981,58.4,41.6,5,5,22,17,758,615,437,302,17,27,52,58,6,3,4,1,2,4,13,24,0,1
6982,45.6,54.4,2,4,14,16,717,784,438,520,20,25,36,35,2,4,0,1,2,1,10,8,,
6979,47.4,52.6,8,5,17,15,717,722,409,437,25,21,44,29,6,9,1,1,1,4,9,19,,
6977,54.4,45.6,3,8,13,14,663,587,401,332,21,16,48,46,4,5,2,1,1,5,11,25,,
6978,43.8,56.2,4,0,12,4,621,773,390,519,14,12,26,50,2,2,1,3,3,3,18,16,,
6975,56.7,43.3,12,6,27,9,672,580,448,348,11,21,4,35,3,2,1,3,2,1,22,14,2,0
6972,48,52,5,2,12,12,650,667,363,388,26,23,47,41,2,7,2,2,1,3,16,18,,
6973,44.6,55.4,8,2,17,8,638,704,316,393,25,18,63,55,5,11,3,1,0,2,11,6,,
6974,47.6,52.4,6,6,16,15,629,669,353,394,20,14,32,36,3,3,2,5,1,1,13,13,0,1
6976,35.4,64.6,2,6,8,19,506,763,267,491,26,18,42,28,3,7,0,2,0,1,14,8,1,0
6971,53.8,46.2,10,4,16,13,798,713,522,452,20,25,31,15,6,7,3,0,0,1,13,15,,
6966,47.9,52.1,9,4,19,13,608,649,351,401,17,15,28,35,9,5,4,2,0,3,7,15,,
6968,57,43,6,5,13,10,766,606,526,399,17,19,48,28,3,1,2,0,1,1,10,17,,
6969,44.1,55.9,1,1,5,7,667,764,400,514,19,25,29,31,8,6,3,2,1,6,9,15,,
6970,50.9,49.1,3,10,8,13,667,663,388,378,21,34,21,34,3,2,2,1,3,4,17,14,,
6967,41,59,7,5,13,12,541,632,235,348,21,27,48,38,8,3,4,2,0,1,16,12,,
6962,46.1,53.9,5,2,12,13,623,681,352,413,17,22,54,39,4,12,3,0,5,1,12,11,,
6961,67.8,32.2,7,3,24,7,845,512,559,259,18,23,27,44,7,1,2,3,1,5,9,12,,
6964,56.4,43.6,9,2,22,8,689,568,421,317,21,16,43,29,9,1,3,2,1,0,13,13,0,1
6965,42.4,57.6,5,2,12,8,609,728,350,477,14,20,44,34,1,5,1,1,0,1,12,14,,
6963,57.2,42.8,3,4,16,14,633,538,363,283,18,18,40,35,7,7,2,4,2,0,12,10,0,1
6960,51.7,48.3,1,1,10,10,668,611,351,324,21,40,61,38,5,9,1,1,0,1,6,9,,
6959,36.8,63.2,3,1,10,10,474,670,238,413,25,20,36,38,3,3,1,1,3,3,21,15,1,0
6953,47.5,52.5,3,4,11,10,724,765,431,472,20,30,45,26,3,6,3,3,3,2,21,15,,
6954,47.8,52.2,2,3,10,14,629,686,426,475,27,26,19,31,1,8,3,2,0,1,9,11,0,1
6957,47.2,52.8,8,2,14,11,629,681,355,388,25,28,47,41,3,6,3,4,1,2,14,9,,
6958,41.8,58.2,2,3,10,13,573,709,308,436,17,20,43,42,5,6,0,4,2,1,17,13,,
6955,56.1,43.9,6,2,18,7,630,533,350,265,16,18,40,53,6,6,4,2,1,3,14,15,0,1
6956,38.5,61.5,5,3,10,21,572,792,306,515,20,19,45,28,5,6,4,1,1,2,13,16,,
6950,58.6,41.4,3,4,10,13,727,588,462,322,16,17,42,32,6,3,6,1,0,2,12,20,,
6951,55.2,44.8,5,2,17,11,657,590,387,316,15,23,32,59,8,4,1,7,3,0,10,17,1,2
6952,57.5,42.5,2,4,16,13,711,604,413,296,18,37,46,44,9,5,0,2,2,3,12,8,,
