MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
12494,Man Utd,Bournemouth,3,1,66.3,33.7,5.0,0.0,12.0,7.0,846.0,510.0,677.0,342.0,17.0,16.0,11.0,10.0,7.0,1.0,4.0,2.0,1.0,0.0,9.0,8.0,0.0,0.0
12485,Arsenal,Aston Villa,4,0,59.6,40.4,7.0,2.0,16.0,5.0,774.0,591.0,609.0,414.0,14.0,13.0,12.0,26.0,5.0,4.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0
12486,Chelsea,Leicester,1,1,54.0,46.0,4.0,5.0,17.0,18.0,753.0,668.0,525.0,444.0,26.0,24.0,26.0,16.0,7.0,6.0,8.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0
12487,Everton,Norwich,3,0,45.5,54.5,8.0,2.0,15.0,11.0,599.0,650.0,382.0,445.0,18.0,13.0,29.0,28.0,4.0,11.0,1.0,1.0,0.0,0.0,7.0,11.0,0.0,0.0
12488,Newcastle,Spurs,5,1,38.5,61.5,10.0,5.0,19.0,18.0,538.0,739.0,351.0,551.0,20.0,21.0,35.0,11.0,3.0,8.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,0.0
12489,Southampton,Crystal Palace,4,1,49.8,50.2,5.0,4.0,19.0,16.0,612.0,584.0,396.0,401.0,15.0,11.0,40.0,19.0,2.0,5.0,2.0,1.0,1.0,2.0,7.0,14.0,0.0,0.0
12490,Stoke,West Ham,2,1,46.7,53.3,4.0,8.0,7.0,20.0,542.0,599.0,355.0,401.0,28.0,10.0,27.0,19.0,4.0,10.0,6.0,2.0,3.0,1.0,8.0,12.0,0.0,0.0
12491,Swansea,Man City,1,1,50.0,50.0,1.0,5.0,4.0,18.0,676.0,672.0,494.0,496.0,13.0,17.0,27.0,16.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,19.0,0.0,0.0
12492,Watford,Sunderland,2,2,54.2,45.8,6.0,4.0,21.0,6.0,615.0,547.0,401.0,346.0,13.0,20.0,26.0,39.0,7.0,4.0,1.0,4.0,1.0,0.0,11.0,9.0,0.0,0.0
12493,West Brom,Liverpool,1,1,32.6,67.4,1.0,3.0,13.0,7.0,492.0,813.0,285.0,612.0,22.0,23.0,25.0,23.0,7.0,5.0,1.0,0.0,3.0,1.0,11.0,14.0,0.0,0.0
12483,Norwich,Watford,4,2,55.6,44.4,6.0,7.0,18.0,12.0,716.0,586.0,495.0,399.0,8.0,29.0,19.0,13.0,5.0,1.0,5.0,3.0,2.0,3.0,8.0,13.0,0.0,0.0
12484,Sunderland,Everton,3,0,37.7,62.3,8.0,6.0,14.0,17.0,545.0,774.0,352.0,596.0,12.0,19.0,34.0,24.0,5.0,5.0,2.0,1.0,1.0,0.0,15.0,7.0,0.0,0.0
12482,Liverpool,Chelsea,1,1,55.3,44.7,9.0,7.0,28.0,13.0,768.0,666.0,546.0,446.0,25.0,23.0,19.0,21.0,7.0,3.0,1.0,2.0,3.0,1.0,11.0,12.0,0.0,0.0
12481,West Ham,Man Utd,3,2,41.3,58.7,6.0,2.0,20.0,3.0,538.0,659.0,324.0,473.0,18.0,25.0,14.0,26.0,6.0,2.0,1.0,2.0,1.0,3.0,6.0,18.0,0.0,0.0
12480,Spurs,Southampton,1,2,69.8,30.2,6.0,2.0,20.0,10.0,803.0,461.0,586.0,257.0,14.0,26.0,25.0,45.0,10.0,2.0,1.0,4.0,0.0,3.0,8.0,15.0,0.0,0.0
12478,Liverpool,Watford,2,0,66.1,33.9,5.0,3.0,19.0,14.0,756.0,487.0,563.0,271.0,22.0,17.0,24.0,25.0,8.0,8.0,2.0,1.0,1.0,2.0,10.0,15.0,0.0,0.0
12479,Man City,Arsenal,2,2,57.2,42.8,3.0,2.0,14.0,5.0,747.0,618.0,505.0,383.0,22.0,26.0,28.0,32.0,7.0,2.0,3.0,3.0,2.0,1.0,16.0,10.0,0.0,0.0
12475,Norwich,Man Utd,0,1,33.1,66.9,2.0,2.0,8.0,15.0,466.0,767.0,272.0,579.0,14.0,19.0,18.0,18.0,1.0,6.0,0.0,1.0,1.0,0.0,11.0,10.0,0.0,0.0
12472,Bournemouth,West Brom,1,1,68.3,31.7,4.0,4.0,12.0,12.0,776.0,463.0,567.0,255.0,24.0,28.0,19.0,16.0,5.0,3.0,1.0,3.0,2.0,1.0,5.0,8.0,0.0,0.0
12471,Aston Villa,Newcastle,0,0,45.9,54.1,0.0,3.0,2.0,9.0,625.0,693.0,409.0,455.0,21.0,17.0,32.0,33.0,0.0,5.0,1.0,1.0,1.0,1.0,8.0,13.0,0.0,0.0
12473,Crystal Palace,Stoke,2,1,57.8,42.2,4.0,3.0,17.0,12.0,585.0,462.0,390.0,293.0,8.0,16.0,10.0,27.0,4.0,3.0,1.0,3.0,2.0,3.0,8.0,18.0,0.0,0.0
12476,Sunderland,Chelsea,3,2,31.4,68.6,4.0,8.0,14.0,9.0,450.0,821.0,287.0,652.0,15.0,15.0,9.0,23.0,3.0,3.0,6.0,1.0,4.0,1.0,11.0,9.0,0.0,1.0
12477,West Ham,Swansea,1,4,51.9,48.1,7.0,6.0,25.0,13.0,622.0,617.0,427.0,408.0,10.0,16.0,11.0,31.0,13.0,3.0,3.0,2.0,3.0,0.0,11.0,8.0,0.0,0.0
12474,Leicester,Everton,3,1,41.3,58.7,8.0,5.0,31.0,9.0,562.0,700.0,340.0,504.0,17.0,24.0,19.0,19.0,12.0,4.0,2.0,1.0,0.0,3.0,4.0,12.0,0.0,0.0
12470,Chelsea,Spurs,2,2,47.3,52.7,5.0,5.0,13.0,16.0,588.0,616.0,366.0,408.0,24.0,23.0,22.0,19.0,7.0,8.0,3.0,0.0,3.0,9.0,9.0,20.0,0.0,0.0
12469,Swansea,Liverpool,3,1,47.6,52.4,9.0,3.0,18.0,11.0,678.0,728.0,480.0,533.0,20.0,20.0,12.0,27.0,4.0,7.0,1.0,0.0,2.0,2.0,12.0,13.0,0.0,1.0
12467,Man Utd,Leicester,1,1,70.5,29.5,6.0,3.0,21.0,14.0,822.0,480.0,592.0,248.0,14.0,25.0,19.0,36.0,6.0,5.0,1.0,0.0,3.0,0.0,16.0,10.0,0.0,1.0
12468,Southampton,Man City,4,2,40.2,59.8,7.0,5.0,14.0,6.0,594.0,804.0,384.0,576.0,38.0,24.0,13.0,26.0,8.0,2.0,3.0,0.0,2.0,1.0,12.0,9.0,0.0,0.0
12462,Everton,Bournemouth,2,1,56.5,43.5,5.0,2.0,12.0,16.0,780.0,657.0,608.0,455.0,19.0,17.0,20.0,31.0,3.0,5.0,1.0,1.0,1.0,0.0,4.0,8.0,0.0,0.0
12463,Newcastle,Crystal Palace,1,0,49.5,50.5,4.0,3.0,10.0,9.0,612.0,617.0,394.0,399.0,27.0,18.0,31.0,21.0,4.0,8.0,0.0,1.0,2.0,0.0,11.0,12.0,0.0,0.0
12464,Stoke,Sunderland,1,1,53.6,46.4,3.0,5.0,11.0,14.0,567.0,483.0,369.0,306.0,15.0,15.0,28.0,15.0,2.0,8.0,1.0,1.0,2.0,2.0,13.0,13.0,0.0,0.0
12465,Watford,Aston Villa,3,2,64.7,35.3,6.0,2.0,18.0,7.0,778.0,527.0,588.0,332.0,14.0,17.0,14.0,32.0,8.0,4.0,1.0,3.0,2.0,3.0,14.0,10.0,0.0,1.0
12466,West Brom,West Ham,0,3,40.9,59.1,5.0,4.0,15.0,8.0,529.0,703.0,332.0,493.0,13.0,16.0,19.0,37.0,8.0,6.0,3.0,1.0,0.0,0.0,14.0,7.0,0.0,0.0
12461,Arsenal,Norwich,1,0,68.6,31.4,3.0,3.0,14.0,12.0,899.0,494.0,697.0,305.0,17.0,17.0,21.0,23.0,7.0,3.0,3.0,2.0,1.0,0.0,8.0,7.0,0.0,0.0
12460,Spurs,West Brom,1,1,66.5,33.5,2.0,3.0,18.0,16.0,755.0,456.0,537.0,260.0,19.0,20.0,35.0,26.0,9.0,7.0,1.0,1.0,0.0,1.0,8.0,13.0,0.0,0.0
12459,Sunderland,Arsenal,0,0,29.8,70.2,3.0,7.0,12.0,20.0,463.0,859.0,268.0,659.0,13.0,6.0,33.0,21.0,7.0,7.0,5.0,4.0,2.0,4.0,10.0,8.0,0.0,0.0
12458,Leicester,Swansea,4,0,38.3,61.7,9.0,1.0,18.0,9.0,627.0,868.0,392.0,623.0,30.0,28.0,25.0,19.0,4.0,6.0,3.0,1.0,1.0,2.0,15.0,10.0,0.0,0.0
