MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
22712,Burnley,Bournemouth,1,2,51.4,48.6,4.0,5.0,10.0,16.0,582.0,596.0,416.0,401.0,16.0,10.0,17.0,33.0,7.0,8.0,3.0,1.0,0.0,0.0,14.0,9.0,0.0,0.0
22713,Crystal Palace,West Brom,2,0,59.2,40.8,5.0,1.0,11.0,7.0,792.0,584.0,560.0,379.0,28.0,34.0,18.0,14.0,4.0,2.0,1.0,1.0,2.0,3.0,10.0,11.0,0.0,0.0
22714,Huddersfield,Arsenal,0,1,45.0,55.0,3.0,4.0,19.0,9.0,603.0,715.0,399.0,519.0,18.0,11.0,19.0,36.0,7.0,4.0,0.0,2.0,1.0,0.0,11.0,7.0,0.0,0.0
22715,Liverpool,Brighton,4,0,72.3,27.7,11.0,1.0,22.0,2.0,898.0,432.0,737.0,275.0,10.0,17.0,7.0,30.0,7.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0
22716,Man Utd,Watford,1,0,51.4,48.6,1.0,3.0,7.0,7.0,659.0,619.0,460.0,429.0,25.0,20.0,23.0,24.0,6.0,5.0,5.0,1.0,4.0,0.0,6.0,11.0,0.0,0.0
22717,Newcastle,Chelsea,3,0,41.9,58.1,6.0,2.0,16.0,6.0,585.0,764.0,406.0,569.0,19.0,18.0,10.0,37.0,4.0,2.0,0.0,2.0,0.0,1.0,11.0,10.0,0.0,0.0
22718,Southampton,Man City,0,1,30.3,69.7,3.0,2.0,8.0,13.0,441.0,782.0,259.0,583.0,24.0,13.0,30.0,21.0,1.0,12.0,4.0,2.0,3.0,2.0,8.0,10.0,0.0,0.0
22719,Swansea,Stoke,1,2,57.6,42.4,11.0,5.0,27.0,8.0,744.0,612.0,544.0,414.0,16.0,21.0,4.0,43.0,6.0,0.0,1.0,5.0,1.0,2.0,12.0,9.0,0.0,0.0
22720,Spurs,Leicester,5,4,64.0,36.0,6.0,9.0,14.0,17.0,672.0,453.0,480.0,265.0,20.0,23.0,17.0,19.0,4.0,4.0,2.0,4.0,1.0,2.0,9.0,13.0,0.0,0.0
22721,West Ham,Everton,3,1,56.6,43.4,4.0,7.0,15.0,14.0,652.0,528.0,479.0,365.0,11.0,10.0,20.0,21.0,6.0,6.0,4.0,1.0,0.0,1.0,10.0,13.0,0.0,0.0
22651,West Ham,Man Utd,0,0,44.2,55.8,2.0,6.0,9.0,16.0,643.0,780.0,476.0,601.0,15.0,16.0,17.0,14.0,1.0,6.0,1.0,2.0,1.0,1.0,12.0,12.0,0.0,0.0
22685,Chelsea,Huddersfield,1,1,77.9,22.1,5.0,2.0,22.0,3.0,1053.0,456.0,831.0,243.0,13.0,24.0,7.0,64.0,9.0,0.0,2.0,0.0,0.0,1.0,7.0,10.0,0.0,0.0
22645,Leicester,Arsenal,3,1,40.4,59.6,10.0,7.0,19.0,14.0,525.0,661.0,310.0,477.0,16.0,18.0,20.0,22.0,6.0,6.0,6.0,1.0,2.0,2.0,7.0,12.0,0.0,1.0
