HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
14,775.406,151.256,269.512,354.638,14,883.673,166,315.499,"402.174
"
14,793.834,182.616,210.218,401.0,14,790.224,144.288,287.936,"358
"
14,792.189,216.189,219,357.0,14,862.968,173.566,293.402,"396
"
14,884.043,269.651,220.392,394.0,14,827.956,84.175,294.26,"449.521
"
14,912.543,155.313,350.23,407,14,808.489,129.325,315.164,"364
"
14,805.636,93.648,341.988,370,14,869.152,230.624,252.528,"386
"
14,830.718,157.239,296.034,377.445,14,883.726,251.335,229.391,"403
"
14,798.745,76.958,361.257,360.53,14,795.936,278.427,163.175,"354.334
"
14,841.663,148,291.936,401.727,13,800.032,181.18,183.0,"435.852
"
14,810.201,166.403,349.5,294.298,14,793.845,85.944,349.901,"358
"
14,906.219,110.639,388.58,407,14,801.892,120.336,221.386,"460.17
"
14,797.444,72.644,363.8,361,14,808.298,216.798,297.5,"294.0
"
14,834.715,66.959,437.79,329.966,14,772.178,246.092,209.586,"316.5
"
14,791.824,93.616,338.208,360,13,882.914,247.614,243.3,"392
"
14,891.689,95.498,351.191,445.0,12,810.0,55.991,313.009,"441
"
14,883.867,183.982,299.552,400.333,13,811.443,156.08,359.363,"296
"
13,846.088,252.292,153.156,440.64,14,903.264,110.368,363.07,"429.826
"
14,802.049,130.707,217.468,453.874,14,792.268,221.334,218.5,"352.434
"
14,887.48,189.502,291.978,406,14,799.09,72.556,365.534,"361
"
14,832.056,150,292.406,389.65,14,781.601,178.689,252.08,"350.832
"
14,801.59,58.35,379.24,364,14,818.762,145.049,257.853,"415.86
"
14,831.746,286.7,169.758,375.288,14,822.914,131.821,313.093,"378
"
13,808.687,150.015,294.672,364,14,860.648,123.042,298.242,"439.364
"
14,886.661,164.195,322.466,400,14,831.134,96.992,356.41,"377.732
"
14,795.602,145.602,290.0,360,14,905.322,170.39,327.932,"407
"
13,882.668,286.148,211.52,385.0,14,873.132,80.134,387.478,"405.52
"
14,799.134,72,366.134,361,14,797.789,151.281,299.316,"347.192
"
14,891.129,185.299,299.83,406,14,813.722,89.842,352.88,"371
"
14,824.589,142.414,232.175,450.0,14,787.558,246.584,218.089,"322.885
"
13,806.189,97.353,312.828,396.008,14,852.671,148,319.768,"384.903
"
14,837.3,308.526,148.35,380.424,14,804.338,154.696,278.642,"371.0
"
14,806.858,143.5,336.358,327.0,14,816.633,160.784,291.216,"364.633
"
14,822.661,203.852,240.809,378,14,847.894,242.444,222.768,"382.682
"
14,908.946,168.642,330.446,409.858,14,797.839,148.107,298.732,"351
"
14,854.136,214.906,255.73,383.5,14,882.143,213.43,304.151,"364.562
"
14,783.214,207.674,296.54,279,14,885.643,128.48,357.163,"400
"
13,813.606,74.601,368.005,371,13,880.464,236.364,244.0,"400.1
"
14,887.425,164.624,322.801,400,14,799.538,72.534,365.267,"361.737
"
13,803.05,153.264,282.786,367,14,832.777,170.872,283.905,"378
"
14,799.23,197.657,234.176,367.397,14,809.064,146.8,292.654,"369.61
"
14,822.848,171.688,291.8,359.36,13,839.015,307.3,150.0,"381.715
"
14,820.846,163.784,288.062,369,14,790.571,71.911,355.624,"363.036
"
14,839.844,149.708,318.136,372,13,814.261,73,369.732,"371.529
"
14,854.78,232.5,237.28,385,14,795.532,135.324,300.452,"359.756
"
14,900.967,169.165,324.802,407,13,799.93,89.242,349.688,"361
"
13,877.914,143.8,329.552,404.562,14,820.468,76.665,374.803,"369
"
14,836.921,187.821,206.714,442.386,14,892.378,153.24,331.138,"408
"
14,884.212,308.948,183.264,392,14,908.365,84.22,415.145,"409
"
14,795.122,131.008,298.732,365.382,13,812.644,151.497,219.733,"441.414
"
14,823.901,179.035,194.866,450,14,812.291,91.299,349.992,"371
"
14,818.032,228.728,227.024,362.28,14,797.445,214,215.844,"367.601
"
13,812.433,130.975,308.458,373,14,817.153,143.508,300.323,"373.322
"
12,799.444,72,367.444,360,13,849.622,248.304,216.318,"385
"
14,803.092,121.388,326.768,354.936,14,846.657,148,324.745,"373.912
"
14,851.87,148,318.616,385.254,13,800.4,14.8,370.0,"415.6
"
14,815.008,137.732,308.276,369,13,884.276,286.852,201.0,"396.424
"
14,855.013,215.777,254.236,385,14,875.747,157.679,321.068,"397
"
14,894.196,82,374.953,437.243,14,809.202,65.892,369.81,"373.5
"
13,794.938,145.671,160.622,488.645,14,818.844,182.0,187.0,"449.844
"
14,789.002,206.291,225.711,357,14,790.423,93.597,328.408,"368.418
"
14,784.135,233.66,209,341.475,14,842.575,277.425,181.15,"384
"
13,819.064,130.77,320.294,368,14,870.621,169,391.644,"309.977
"
14,819.656,200.659,251.397,367.6,14,802.518,148.734,293.182,"360.602
"
14,909.924,94.952,407.972,407,14,815.229,165.354,288.875,"361
"
14,798.9,81.028,309.847,408.025,14,811.256,146.975,289.119,"375.162
"
14,882.866,302.429,188.437,392,14,850.136,82,380.335,"387.801
"
14,808.243,230.918,149.711,427.614,14,851.508,213.456,253.052,"385
"
13,878.506,159.384,320.122,399,14,912.633,83.0,420.633,"409
"
14,789.627,71.978,356.89,360.759,14,900.866,141.76,310.106,"449.0
"
14,826.405,155.838,297.567,373,14,821.537,113.5,331.525,"376.512
"
14,812.466,150.901,288.565,373,14,785.677,236.615,217.199,"331.863
"
14,843.925,299.269,160.656,384,14,813.567,183.067,259.5,"371
"
14,794.4,163.4,283.0,348,14,787.934,143,259.134,"385.8
"
14,884.713,173.165,353.048,358.5,13,811.922,211.597,221.483,"378.842
"
12,882.424,252.424,238,392,14,808.322,122.816,253.966,"431.54
"
13,805.766,152,293.466,360.3,14,797.703,221.733,218,"357.97
"
14,878.658,149.997,329.661,399,14,843.566,287.366,172.2,"384.0
"
14,888.343,252.576,237.767,398,14,912.312,83.0,420.312,"409
"
14,828.693,137.261,330.124,361.308,12,850.822,232.822,233,"385
"
14,808.936,194.399,247.537,367,12,807.335,76,359,"372.335
"
13,850.0,82,378.0,390,14,829.338,178.224,275.614,"375.5
"
14,809.014,151.4,294.614,363,13,879.083,172.083,395,"312
"
14,794.89,210.468,170.936,413.486,14,884.159,252.512,238,"393.647
"
14,858.59,157.702,315.888,385,14,842.545,197.686,260.859,"384
"
14,795.113,282.321,227.792,285,14,792.098,221.22,231.784,"339.094
"
14,899.495,90.387,409.108,400,14,806.403,117.197,193.992,"495.214
"
14,827.708,137.726,315.982,374,14,788.999,71.844,357.155,"360
"
14,818.611,217.399,226.212,375,14,800.479,89.614,350.865,"360
"
14,902.608,144.496,284.512,473.6,14,877.466,160,263.059,"454.407
"
14,853.123,87.298,375.825,390,14,880.446,141.127,321.951,"417.368
"
14,832.057,272.297,220.676,339.084,14,1630.963,1001.062,237.901,"392
"
13,805.73,214.809,231.857,359.064,13,905.464,143.984,353.48,"408
"
14,853.845,162.542,306.303,385,14,792.49,187.943,183.915,"420.632
"
14,794.144,182.552,227.772,383.82,14,824.962,156.462,294.5,"374
"
14,831.006,131.432,321.574,378,14,811.155,95.252,347.903,"368
"
12,808.78,151,289,368.78,14,814.754,157.226,287.678,"369.85
"
14,803.41,80.772,362.638,360,14,788.766,71.3,357.466,"360
"
14,839.311,194.398,263.913,381,14,795.369,147.72,223.0,"424.649
"
14,798.689,265.27,218.356,315.063,14,909.281,83,399.754,"426.527
"
14,902.489,123.688,370.801,408,13,854.254,80,304.254,"470.0
"
14,788.392,272.6,161.0,354.792,14,819.096,219.872,183.224,"416.0
"
14,787.99,90.224,339.766,358,14,833.262,152.662,302.6,"378
"
14,817.599,135.411,307.188,375,14,809.447,98.925,337.522,"373
"
14,802.682,115.53,354.462,332.69,14,889.212,259.7,234.248,"395.264
"
13,812.999,218.899,227.1,367,14,819.778,171.9,272.878,"375
"
14,836.69,171.588,282.212,382.89,14,790.012,108.568,337.762,"343.682
"
14,844.574,160.908,302.666,381,14,785.889,178.097,194.4,"413.392
"
14,829.46,191.816,264.644,373,13,881.874,251.874,238,"392
"
14,850.866,164.268,301.598,385,14,809.144,150.39,295.199,"363.555
"
14,817.959,148.555,300.268,369.136,14,903.223,154.65,337.867,"410.706
"
14,794.958,266.473,194.986,333.499,12,831.792,155.0,302.792,"374
"
13,810.356,90.175,347.181,373,14,885.736,175.611,308.125,"402
"
13,819.688,75.9,368.788,375,14,843.523,102.796,357.224,"383.503
"
14,882.712,293.75,197.562,391.4,14,840.157,203.499,252.658,"384
"
13,835.734,155.8,301.934,378,13,811.308,227,218.712,"365.596
"
14,794.621,136.837,298.784,359,14,897.114,253.121,233.778,"410.215
"
14,877.653,144.691,356.454,376.508,14,797.5,50.986,388.514,"358
"
14,785.377,144.878,279.0,361.499,14,793.841,210.3,225.908,"357.633
"
14,912.281,147.574,357.707,407,14,811.445,85.975,352.47,"373
"
14,797.024,141.294,335.5,320.23,14,829.19,152.61,225,"451.58
"
13,804.899,132.825,294.899,377.175,14,820.772,176.538,279.234,"365
"
14,903.723,130.396,365.327,408,14,864.243,110.792,357.451,"396
"
13,806.954,152,230.192,424.762,13,878.022,330.131,161,"386.891
"
12,894.466,232.582,259.884,402,14,897.484,248.471,247.013,"402.0
"
14,824.255,143.903,301.352,379.0,14,849.534,80.134,375.4,"394
"
14,810.866,93.812,344.054,373,14,843.291,164.063,294.414,"384.814
"
14,787.133,153.608,285.525,348,14,905.346,155.752,342.594,"407
"
13,788.068,170.276,263.792,354,12,804.776,170.206,217,"417.57
"
14,792.067,233.857,276.999,281.211,14,821.408,142.318,314.09,"365
"
14,807.542,148.5,296.042,363,14,821.556,77.856,368.7,"375
"
14,899.009,282.106,233.844,383.059,14,805.947,155.214,209.733,"441
"
14,849.86,80,372.352,397.508,14,864.7,97.442,371.258,"396
"
14,838.689,212.792,240.313,385.584,14,789.779,153.846,282.632,"353.301
"
14,806.053,226.789,172.838,406.426,14,807.322,130.2,300.772,"376.35
"
14,903.332,165.578,330.754,407,14,816.619,79.891,289.952,"446.776
"
14,794.02,83.35,409.906,300.764,14,799.179,122.637,358.042,"318.5
"
13,820.049,74.268,370.0,375.781,13,910.28,154.048,336,"420.232
"
12,826.445,155,302,369.445,13,805.445,80.891,355.554,"369
"
14,800.711,85.232,292.188,423.291,14,792.935,256.643,218.792,"317.5
"
14,875.89,309.267,180.623,386,14,888.046,137.761,349.641,"400.644
"
12,906.0,166.0,256,484,14,906.905,83.036,333.869,"490
"
14,884.929,176.103,303.6,405.226,13,788.799,119.339,312.46,"357
"
14,798.357,130.057,313.388,354.912,13,879.0,317.582,174.706,"386.712
"
14,789.654,125.824,309.83,354.0,14,815.334,147.833,296.501,"371
"
14,860.667,55.15,429.426,376.091,14,811.636,200.407,179.887,"431.342
"
14,819.164,169.986,281.178,368,14,823.884,157.046,300.058,"366.78
"
14,788.002,221.934,215.068,351,12,869.748,162.748,312,"395
"
14,813.031,100.975,339.056,373,14,889.813,301.069,233,"355.744
"
14,829.676,120.494,327.65,381.532,13,799.302,74,365.302,"360
"
14,810.786,168.749,269.887,372.15,14,824.19,263.046,138.344,"422.8
"
14,815.286,165.913,219.064,430.309,14,800.73,82.563,355.325,"362.842
"
14,905.456,165.556,355.6,384.3,14,808.556,142.23,303.326,"363
"
14,796.913,74.512,364.901,357.5,14,808.535,55.675,379.86,"373
"
14,845.754,86.084,342.662,417.008,14,911.9,168.5,303.489,"439.911
"
14,788.827,146.472,203.892,438.463,14,789.199,221.665,228.986,"338.548
"
14,877.058,314.302,176.0,386.756,14,855.546,141.378,328.168,"386
"
14,875.515,170.528,179.702,525.285,14,787.235,143.0,292.468,"351.767
"
14,815.211,142.186,302.025,371,13,838.53,91.69,359.563,"387.277
"
13,811.179,127.236,318.943,365,14,881.359,166.0,311.927,"403.432
"
14,833.822,271.45,176.344,386.028,14,805.5,30.448,347.122,"427.93
"
14,788.128,82.148,299.332,406.648,14,858.245,80.825,321.822,"455.598
"
14,906.692,145.504,271.188,490,13,873.402,108.996,283.138,"481.268
"
12,826.567,193.958,181.609,451,13,843.378,80,365.594,"397.784
"
13,886.579,291.5,201.079,394,14,813.378,226.544,218.134,"368.7
"
13,882.081,162.172,319.909,400,13,806.044,21.268,351.776,"433
"
14,787.808,74.472,283.344,429.992,14,799.478,111.606,324.872,"363
"
14,908.511,167.555,326.836,414.12,14,790.558,143,289.022,"358.536
"
13,814.778,146.778,297.0,371,14,796.963,272.39,168.408,"356.165
"
14,810.555,170.947,346.108,293.5,14,832.066,92.67,287.532,"451.864
"
14,802.8,74.4,368.4,360,14,830.339,153.106,304.409,"372.824
"
13,814.976,167.797,206.014,441.165,14,884.856,182.2,302.122,"400.534
"
12,800.6,83.5,354.1,363,12,884.534,249.534,241,"394
"
14,836.011,94.364,288.27,453.377,14,909.258,130.974,371.284,"407
"
13,868.322,78.176,390,400.146,13,826.1,225.1,164.553,"436.447
"
14,788.433,143,290.832,354.601,14,807.666,148.0,308.024,"351.642
"
13,860.945,95.825,359.412,405.708,13,812.758,145.416,244.833,"422.509
"
14,799.856,92.928,344.928,362,14,802.136,75.466,364.459,"362.211
"
14,836.268,173.965,284.303,378,14,789.208,87.86,303.0,"398.348
"
14,837.673,132.808,297.908,406.957,14,790.568,146.534,200.957,"443.077
"
14,791.28,172.512,268.848,349.92,14,910.171,155.752,262.419,"492
"
14,878.589,191.404,308.657,378.528,14,854.106,141.902,323.204,"389
"
14,883.847,44.193,438.785,400.869,14,781.734,195.158,235.576,"351
"
14,790.545,146.378,244.008,400.159,14,817.822,145.334,297,"375.488
"
14,797.645,88.951,300.666,408.028,14,786.609,188.397,241.212,"357
"
14,880.942,289.04,195.513,396.389,14,793.632,215.288,218.344,"360
"
14,826.021,182.308,276.713,367.0,14,906.384,167.767,328.617,"410
"
14,798.533,76,359.533,363.0,14,856.5,156.5,301.8,"398.2
"
14,801.576,94.944,361.144,345.488,12,809.446,227,161.762,"420.684
"
14,793.254,109.924,305.606,377.724,14,841.232,139.08,229.5,"472.652
"
13,833.144,239.247,216.897,377,14,904.616,138.361,361.255,"405
"
14,907.834,166.0,250.5,491.334,14,885.715,254.928,209.359,"421.428
"
14,847.901,166.48,306.421,375,14,798.444,117.7,316.344,"364.4
"
13,836.996,232,180.64,424.356,14,819.174,179.98,272.084,"367.11
"
14,844.933,92.46,281.055,471.418,14,887.158,159.824,334.769,"392.565
"
14,787.1,198.93,228.296,359.874,14,804.644,112.0,333.644,"359
"
14,795.108,160.922,215.838,418.348,14,830.176,324.654,132.188,"373.334
"
14,793.39,218.728,205.014,369.648,14,783.043,167.386,209.13,"406.527
"
14,893.279,115.287,398.418,379.574,14,788.365,80.833,269.768,"437.764
"
14,815.571,149.279,295.292,371,14,868.405,118.294,314.611,"435.5
"
14,799.755,217.5,293.15,289.105,14,780.469,67.56,242.965,"469.944
"
14,910.936,83.0,420.936,407,13,878.18,236.0,246.18,"396
"
14,802.617,215.719,221.178,365.72,14,785.678,71.6,264.904,"449.174
"
14,780.867,150.881,240.952,389.034,14,810.192,150.345,306.847,"353
"
