MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9981,Arsenal,4,1,West Brom,63.7,36.3,13,5,24,14,808,526,637,359,15,20,13,14,7,3,1,3,14,874.199,189.64,303.559,381.0,14,806.07,104.176,367.802,334.092
9982,Aston Villa,0,1,Burnley,63.3,36.7,5,3,17,6,745,486,530,319,9,16,32,32,7,2,1,1,13,804.511,154.0,367.4,283.111,14,779.702,141.558,278.834,359.31
9983,Chelsea,3,1,Sunderland,64.6,35.4,8,9,24,17,803,508,617,342,9,16,9,23,11,3,1,1,14,905.318,125.88,360.724,418.714,12,812.0,228.0,225.0,359.0
9984,Crystal Palace,1,0,Swansea,47.4,52.6,7,2,13,5,566,616,342,389,20,23,23,33,7,3,2,0,14,812.02,103.805,339.215,369.0,14,794.753,146.0,292.753,356.0
9985,Everton,0,1,Spurs,40.4,59.6,1,3,9,16,588,826,409,624,15,15,20,21,3,5,2,4,14,844.816,133.364,336.38,375.072,14,858.412,156.501,383.911,318.0
9986,Hull,0,0,Man Utd,40.9,59.1,6,1,16,7,518,699,336,525,17,17,9,39,8,1,6,0,14,787.8,166.518,353.92,267.362,14,878.625,189.169,371.456,318.0
9987,Leicester,5,1,QPR,45.7,54.3,7,2,22,18,565,628,350,422,16,18,25,25,5,6,3,1,14,786.742,143.834,352.908,290.0,13,781.55,136.0,288.446,357.104
9988,Man City,2,0,Southampton,54.5,45.5,6,4,15,13,670,602,475,393,16,21,29,16,8,4,0,7,14,882.954,195.627,274.835,412.492,13,829.844,227.0,225.844,377.0
9989,Newcastle,2,0,West Ham,40.8,59.2,4,1,17,4,538,687,323,486,25,17,15,31,2,3,1,3,12,819.0,226.0,220.0,373.0,14,799.267,282.708,164.132,352.427
9990,Stoke,6,1,Liverpool,45.5,54.5,9,4,15,13,637,689,431,514,18,20,23,17,3,9,1,1,14,831.668,164.6,288.068,379.0,14,848.5,242.708,290.792,315.0
9980,Arsenal,0,0,Sunderland,75.1,24.9,8,3,28,7,1008,466,798,273,12,20,8,41,5,2,0,1,13,884.144,250.4,247.744,386.0,14,810.664,189.0,260.664,361.0
9979,West Brom,3,0,Chelsea,40.5,59.5,5,3,9,12,580,779,422,623,19,16,23,13,3,4,1,1,14,810.022,73.244,369.778,367.0,14,889.516,138.117,326.736,424.663
9977,Man Utd,1,1,Arsenal,57.4,42.6,4,3,12,5,772,639,560,414,37,17,26,22,5,5,8,2,14,881.498,170.678,393.0,317.82,14,881.469,234.935,274.134,372.4
9978,Swansea,2,4,Man City,47.1,52.9,9,11,13,22,683,732,463,530,20,23,18,14,11,7,0,2,14,818.163,154.298,297.865,366.0,14,887.899,178.536,297.817,411.546
9971,Liverpool,1,3,Crystal Palace,66.3,33.7,3,6,18,15,793,510,586,291,20,20,29,26,4,5,1,3,14,845.598,305.703,227.895,312.0,14,809.596,68.838,371.758,369.0
9970,Burnley,0,0,Stoke,45.7,54.3,4,3,11,11,591,683,368,445,11,24,28,44,7,6,1,3,14,782.212,144.0,281.212,357.0,14,821.955,174.708,278.247,369.0
9972,QPR,2,1,Newcastle,47.5,52.5,4,8,8,22,560,622,315,338,34,30,39,40,3,12,1,1,14,793.378,106.5,326.0,360.878,14,818.265,223.5,242.862,351.903
