Season,Home Team,Home Team Goals, Away Team Goals, Away Team,
2013,Cardiff City,1,2,Chelsea,"
"
2013,Fulham,2,2,Crystal Palace,"
"
2013,Hull,0,2,Everton,"
"
2013,Liverpool,2,1,Newcastle,"
"
2013,Man City,2,0,West Ham,"
"
2013,Norwich,0,2,Arsenal,"
"
2013,Southampton,1,1,Man Utd,"
"
2013,Sunderland,1,3,Swansea,"
"
2013,Spurs,3,0,Aston Villa,"
"
2013,West Brom,1,2,Stoke,"
"
2013,Man City,4,0,Aston Villa,"
"
2013,Sunderland,2,0,West Brom,"
"
2013,Man Utd,3,1,Hull,"
"
2013,Crystal Palace,3,3,Liverpool,"
"
2013,Chelsea,0,0,Norwich,"
"
2013,Arsenal,1,0,West Brom,"
"
2013,Everton,2,3,Man City,"
"
2013,Aston Villa,3,1,Hull,"
"
2013,Man Utd,0,1,Sunderland,"
"
2013,Newcastle,3,0,Cardiff City,"
"
2013,Stoke,4,1,Fulham,"
"
2013,Swansea,0,1,Southampton,"
"
2013,West Ham,2,0,Spurs,"
"
2013,Arsenal,3,0,Newcastle,"
"
2013,Crystal Palace,0,2,Man City,"
"
2013,Liverpool,0,2,Chelsea,"
"
2013,Sunderland,4,0,Cardiff City,"
"
2013,Man Utd,4,0,Norwich,"
"
2013,Fulham,2,2,Hull,"
"
2013,Stoke,0,1,Spurs,"
"
2013,Swansea,4,1,Aston Villa,"
"
2013,West Brom,1,0,West Ham,"
"
2013,Southampton,2,0,Everton,"
"
2013,Man City,3,1,West Brom,"
"
2013,Everton,2,0,Man Utd,"
"
2013,Hull,0,3,Arsenal,"
"
2013,Norwich,2,3,Liverpool,"
"
2013,Chelsea,1,2,Sunderland,"
"
2013,Aston Villa,0,0,Southampton,"
"
2013,Cardiff City,1,1,Stoke,"
"
2013,Newcastle,1,2,Swansea,"
"
2013,West Ham,0,1,Crystal Palace,"
"
2013,Spurs,3,1,Fulham,"
"
2013,Everton,2,3,Crystal Palace,"
"
2013,Man City,2,2,Sunderland,"
"
2013,Arsenal,3,1,West Ham,"
"
2013,Swansea,0,1,Chelsea,"
"
2013,Liverpool,3,2,Man City,"
"
