Team,Name,Rating,Position
MUFC,De Gea,83,GK
MUFC,Rafael,77,DEF
MUFC,Rio Ferdinand,79,DEF
MUFC,Nemanja Vidić,85,DEF
MUFC,Patrice Evra,80,DEF
MUFC,Michael Carrick,80,MID
MUFC,Shinji Kagawa,81,MID
MUFC,Juan Mata,87,ATT
MUFC,Danny Welbeck,78,ATT
MUFC,Wayne Rooney,87,ATT
MUFC,Robin van Persie,89,ATT
MUFC,Anders Lindegaard,77,GK
MUFC,Phil Jones,79,DEF
MUFC,Marouane Fellaini,80,MID
MUFC,Darren Fletcher,75,MID
MUFC,Antonio Valencia,81,MID
MUFC,Adnan Januzaj,73,MID
MUFC,Javier Hernández,82,ATT
MUFC,Ashley Young,79,MID
MUFC,Nani,82,MID
MUFC,Chris Smalling,76,DEF
MUFC,Jonny Evans,79,DEF
MUFC,Tom Cleverley,74,MID
MUFC,Tom Lawrence,55,MID
MUFC,Ben Amos,65,GK
MUFC,Alexander Büttner,73,DEF
MUFC,James Wilson,58,ATT
MUFC,Michael Keane,65,DEF
MUFC,Guillermo Varela,60,DEF
MUFC,Saidy Janko,57,DEF
MUFC,Andreas Pereira,55,ATT
MUFC,Reece James,53,DEF
MUFC,Charni Ekangamene,53,ATT
MCFC,Joe Hart,82,GK
MCFC,Pablo Zabaleta,82,DEF
MCFC,Vincent Kompany,86,DEF
MCFC,Martín Demichelis,79,DEF
MCFC,Aleksandar Kolarov,78,DEF
MCFC,Samir Nasri,84,MID
MCFC,Yaya Touré,86,MID
MCFC,Fernandinho,82,MID
MCFC,David Silva,87,MID
MCFC,Edin Džeko,83,ATT
MCFC,Sergio Agüero,88,ATT
MCFC,Costel Pantilimon,75,GK
MCFC,Gaël Clichy,80,DEF
MCFC,James Milner,80,MID
MCFC,Negredo,83,ATT
MCFC,Jesús Navas,83,MID
MCFC,Javi García,79,MID
MCFC,ATTevan Jovetić,83,ATT
MCFC,Joleon Lescott,79,DEF
MCFC,Micah Richards,78,DEF
MCFC,Matija Nastasić,77,DEF
MCFC,Jack Rodwell,76,MID
MCFC,Dedryck Boyata,68,DEF
MCFC,Marcos Lopes,65,ATT
MCFC,Alex Nimely,65,ATT
MCFC,Richard Wright,62,GK
MCFC,Thomas Agyiri,61,MID
MCFC,Seko Fofana,58,MID
MCFC,Jordi Hiwula,58,ATT
MCFC,Sinan Bytyqi,57,ATT
MCFC,Adam Drury,56,MID
MCFC,Angus Gunn,56,GK
MCFC,Ian Lawlor,56,GK
CHE,Petr Čech,85,GK
CHE,Branislav Ivanović,81,DEF
CHE,Gary Cahill,80,DEF
CHE,John Terry,83,DEF
CHE,Azpilicueta,79,DEF
CHE,David Luiz,82,DEF
CHE,Nemanja Matić,81,MID
CHE,Willian,83,MID
CHE,Eden Hazard,88,MID
CHE,Oscar,84,ATT
CHE,Fernando Torres,82,ATT
CHE,Mark Schwarzer,77,GK
CHE,Frank Lampard,80,MID
CHE,André Schürrle,80,MID
CHE,Samuel Eto'o,82,ATT
CHE,Ashley Cole,83,DEF
CHE,Ramires,81,MID
CHE,Mohamed Salah,77,MID
CHE,Tomáš Kalas,74,DEF
CHE,John Obi Mikel,79,MID
CHE,Demba Ba,80,ATT
CHE,Nathan Aké,67,DEF
CHE,Marco van Ginkel,76,MID
CHE,Sam Hutchinson,62,MID
CHE,John Swift,54,MID
CHE,Lewis Baker,59,ATT
CHE,Daniel Pappoe,58,DEF
CHE,Ruben Loftus-Cheek,56,MID
CHE,Andreas Christensen,58,DEF
CHE,Jamal Blackman,58,GK
CHE,Islam Feruz,57,ATT
CHE,Alex Davey,54,DEF
CHE,Tika Musonda,54,MID
ARS,Wojciech Szczęsny,80,GK
ARS,Bacary Sagna,80,DEF
ARS,Per Mertesacker,82,DEF
ARS,Laurent Koscielny,82,DEF
ARS,Kieran Gibbs,78,DEF
ARS,Mikel Arteta,80,MID
ARS,Aaron Ramsey,82,MID
ARS,Santi Cazorla,84,MID
ARS,Lukas Podolski,77,MID
ARS,Mesut Özil,87,ATT
ARS,Olivier Giroud,79,ATT
ARS,Łukasz Fabiański,75,GK
ARS,Jack Wilshere,82,MID
ARS,Nacho Monreal,76,DEF
ARS,Mathieu Flamini,79,MID
ARS,Yaya Sanogo,68,ATT
ARS,Alex Oxlade-Chamberlain,78,MID
ARS,Thomas Vermaelen,79,DEF
ARS,Tomáš Rosický,81,ATT
ARS,ATTrl Jenkinson,71,DEF
ARS,Theo Walcott,81,MID
ARS,Kim Källström,74,MID
ARS,Abou Diaby,76,MID
ARS,Emiliano Viviano,78,GK
ARS,Nicklas Bendtner,75,ATT
ARS,Serge Gnabry,70,MID
ARS,Ryo Miyaichi,67,MID
ARS,Gedion Zelalem,62,MID
ARS,Thomas Eisfeld,59,ATT
ARS,Chuba Akpom,58,ATT
ARS,Héctor Bellerín,58,DEF
ARS,Zak Ansah,57,ATT
ARS,Jon Toral,56,MID
TOT,Hugo Lloris,84,GK
TOT,Kyle Walker,77,DEF
TOT,Michael Dawson,79,DEF
TOT,Jan Vertonghen,82,DEF
TOT,Danny Rose,73,DEF
TOT,Aaron Lennon,79,MID
TOT,Sandro,81,MID
TOT,Paulinho,81,MID
TOT,Christian Eriksen,84,MID
TOT,Emmanuel Adebayor,80,ATT
TOT,Harry Kane,68,ATT
TOT,Brad Friedel,78,GK
TOT,Soldado,82,ATT
TOT,Moussa Dembélé,80,MID
TOT,Nacer Chadli,77,MID
TOT,Gylfi Sigurðsson,74,MID
TOT,Nabil Bentaleb,68,MID
TOT,Vlad Chiricheş,76,DEF
TOT,Andros Townsend,74,MID
TOT,Etienne Capoue,78,MID
TOT,Erik Lamela,80,ATT
TOT,Younès Kaboul,79,DEF
TOT,Ezekiel Fryers,64,DEF
TOT,Milos Veljkovic,57,DEF
TOT,Kyle Naughton,72,DEF
TOT,Gomes,77,GK
TOT,Alex Pritchard,65,MID
TOT,Souleymane Coulibaly,63,ATT
TOT,ATTmeron Lancaster,61,ATT
TOT,Roman Michael-Percil,58,DEF
TOT,Giancarlo Gallifuoco,58,MID
TOT,Jordan Archer,57,GK
TOT,Jonathan Miles,56,GK
LFC,Simon Mignolet,82,GK
LFC,Glen Johnson,78,DEF
LFC,Martin Škrtel,81,DEF
LFC,Daniel Agger,81,DEF
LFC,Jon Flanagan,70,DEF
LFC,ATTeven Gerrard,83,MID
LFC,Jordan Henderson,78,MID
LFC,Joe Allen,77,MID
LFC,Coutinho,81,ATT
LFC,Daniel Sturridge,83,ATT
LFC,Raheem Sterling,79,ATT
LFC,Brad Jones,71,GK
LFC,Kolo Touré,79,DEF
LFC,Iago Aspas,76,ATT
LFC,Victor Moses,75,MID
LFC,Mamadou Sakho,81,DEF
LFC,Aly Cissokho,74,DEF
LFC,Lucas Leiva,80,MID
LFC,José Enrique,79,DEF
LFC,Luis Alberto,72,ATT
LFC,Martin Kelly,74,DEF
LFC,Teixeira,58,ATT
LFC,Samed Yesil,64,ATT
LFC,Villyan Bijev,56,ATT
LFC,Danny Ward,57,GK
LFC,Yalany Baio,58,MID
LFC,ATTmeron Brannagan,56,ATT
LFC,Marc Pelosi,56,MID
LFC,Harry Wilson,56,MID
LFC,Lloyd Jones,56,DEF
LFC,Yusuf Mersin,56,GK
LFC,ATTephen Sama,62,DEF
LFC,Luis Suárez,89,ATT
EVE,Tim Howard,81,GK
EVE,Séamus Coleman,76,DEF
EVE,Phil Jagielka,80,DEF
EVE,Sylvain Distin,77,DEF
EVE,Leighton Baines,82,DEF
EVE,James McCarthy,77,MID
EVE,Gareth Barry,80,MID
EVE,Kevin Mirallas,81,MID
EVE,ATTeven Pienaar,80,MID
EVE,Ross Barkley,77,ATT
EVE,Romelu Lukaku,80,ATT
EVE,Joel Robles,70,GK
EVE,Aiden McGeady,78,MID
EVE,Deulofeu,76,ATT
EVE,Leon Osman,76,MID
EVE,ATTeven Naismith,75,ATT
EVE,Antolín Alcaraz,74,DEF
EVE,John Stones,69,DEF
EVE,Tony Hibbert,73,DEF
EVE,Arouna Koné,77,ATT
EVE,Darron Gibson,77,MID
EVE,Lacina Traoré,78,ATT
EVE,Magaye Gueye,71,MID
EVE,Conor McAleny,61,ATT
EVE,Bryan Oviedo,68,DEF
EVE,Luke Garbutt,62,DEF
EVE,Jindrich Stanek,61,GK
EVE,Chris Long,57,ATT
EVE,Courtney Duffus,59,ATT
EVE,Tyias Browning,54,DEF
EVE,Conor Grant,57,MID
EVE,George Green,55,MID
EVE,Ben McLaughlin,55,DEF
SWAN,Michel Vorm,80,GK
SWAN,Àngel Rangel,76,DEF
SWAN,Jordi Amat,74,DEF
SWAN,Ashley Williams,79,DEF
SWAN,Ben Davies,72,DEF
SWAN,Leon Britton,75,MID
SWAN,Jonjo Shelvey,74,ATT
SWAN,Nathan Dyer,74,MID
SWAN,Wayne Routledge,75,MID
SWAN,Jonathan De Guzmán,76,ATT
SWAN,Wilfried Bony,81,ATT
SWAN,Gerhard Tremmel,73,GK
SWAN,Neil Taylor,72,DEF
SWAN,Chico,77,DEF
SWAN,Jay Fulton,63,ATT
SWAN,Adam King,51,MID
SWAN,Pablo Hernández,77,ATT
SWAN,Marvin Emnes,70,ATT
SWAN,David Cornell,58,GK
SWAN,Michu,80,ATT
SWAN,Álvaro,71,ATT
SWAN,José Cañas,77,MID
SWAN,Kyle Bartley,65,DEF
SWAN,Dwight Tiendalli,70,DEF
SWAN,Roland Lamah,73,MID
SWAN,Pozuelo,71,ATT
SWAN,David N'Gog,70,ATT
SWAN,Leroy Lita,67,ATT
SWAN,Ashley Richards,66,DEF
SWAN,Rory Donnelly,65,ATT
SWAN,Darnel Situ,61,DEF
SWAN,Gregor Zabret,61,GK
SWAN,Kenji Gorré,61,ATT
NUFC,Tim Krul,79,GK
NUFC,Mathieu Debuchy,80,DEF
NUFC,Mike Williamson,75,DEF
NUFC,Fabricio Coloccini,80,DEF
NUFC,Davide Santon,76,DEF
NUFC,Vurnon Anita,75,MID
NUFC,Cheick Tioté,78,MID
NUFC,Moussa Sissoko,75,MID
NUFC,Yoan Gouffran,74,MID
NUFC,Luuk de Jong,75,ATT
NUFC,Loïc Rémy,80,ATT
NUFC,Rob Elliot,68,GK
NUFC,Paul Dummett,64,DEF
NUFC,ATTeven Taylor,75,DEF
NUFC,Mapou Yanga-M'Biwa,76,DEF
NUFC,Gael Bigirimana,63,MID
NUFC,Sammy Ameobi,68,MID
NUFC,Shola Ameobi,70,ATT
NUFC,Massadio Haïdara,69,DEF
NUFC,Hatem Ben Arfa,79,MID
NUFC,Papiss Demba Cissé,76,ATT
NUFC,Ryan Taylor,73,DEF
NUFC,Sylvain Marveaux,73,ATT
NUFC,Dan Gosling,72,MID
NUFC,Gabriel Obertan,68,MID
NUFC,Lubomir Satka,47,DEF
NUFC,Adam Armstrong,62,ATT
NUFC,Jak Alnwick,61,GK
NUFC,Michael Richardson,57,MID
NUFC,Rolando Aarons,57,MID
NUFC,Freddie Woodman,57,GK
NUFC,Olivier Kemen,56,MID
NUFC,Remie Streete,56,DEF
SOT,Artur Boruc,76,GK
SOT,Nathaniel Clyne,74,DEF
SOT,José Fonte,75,DEF
SOT,Dejan Lovren,79,DEF
SOT,Luke Shaw,74,DEF
SOT,Jack Cork,75,MID
SOT,Morgan Schneiderlin,78,MID
SOT,James Ward-Prowse,73,MID
SOT,ATTeven Davis,75,MID
SOT,Adam Lallana,79,ATT
SOT,Rickie Lambert,76,ATT
SOT,Paulo Gazzaniga,64,GK
SOT,ATTlum Chambers,69,DEF
SOT,Jos Hooiveld,70,DEF
SOT,Harrison Reed,61,MID
SOT,Gastón Ramirez,78,ATT
SOT,Guly do Prado,67,MID
SOT,Sam Gallagher,62,ATT
SOT,Victor Wanyama,76,MID
SOT,Jay Rodriguez,74,MID
SOT,Maya Yoshida,71,DEF
SOT,Kelvin Davis,70,GK
SOT,Jonathan Forte,60,ATT
SOT,Ryan Seager,59,ATT
SOT,Marcus Barnes,58,ATT
SOT,Cody Cropper,58,GK
SOT,Dominic Gape,58,MID
SOT,Josh Sims,57,MID
SOT,Matt Targett,57,DEF
SOT,Jake Sinclair,57,ATT
SOT,Jake Flannigan,57,MID
SOT,Omar Rowe,56,MID
SOT,Joshua Debayo,56,DEF
FUL,David Stockdale,73,GK
FUL,Elsad Zverotić,63,DEF
FUL,John Heitinga,76,DEF
FUL,Brede Hangeland,77,DEF
FUL,Fernando Amorebieta,75,DEF
FUL,Alexander Kačaniklić,72,MID
FUL,Scott Parker,76,MID
FUL,ATTeve Sidwell,75,MID
FUL,Kieran Richardson,74,DEF
FUL,ATTuley Woodrow,62,ATT
FUL,Hugo Rodallega,73,ATT
FUL,Jesse Joronen,56,GK
FUL,Pajtim Kasami,73,ATT
FUL,Konstantinos Mitroglou,78,ATT
FUL,Ryan Tunnicliffe,65,MID
FUL,Ashkan Dejagah,74,MID
FUL,Chris David,64,ATT
FUL,Ryan Williams,61,MID
FUL,Lewis Holtby,78,ATT
FUL,Maarten Stekelenburg,77,GK
FUL,Sascha Riether,75,DEF
FUL,William Kvist,75,MID
FUL,Mahamadou Diarra,75,MID
FUL,John Arne Riise,74,DEF
FUL,Damien Duff,74,MID
FUL,Darren Bent,74,ATT
FUL,Derek Boateng,71,MID
FUL,Giorgios Karagounis,70,MID
FUL,Matthew Briggs,66,DEF
FUL,Dan Burn,65,DEF
FUL,Neil Etheridge,61,GK
FUL,Patrick Roberts,62,ATT
FUL,Moussa Dembélé,62,ATT
WHU,Adrián,76,GK
WHU,Guy Demel,70,DEF
WHU,James Tomkins,73,DEF
WHU,Winston Reid,75,DEF
WHU,George McCartney,70,DEF
WHU,Mark Noble,75,MID
WHU,Matthew Taylor,68,MID
WHU,ATTewart Downing,77,MID
WHU,Matthew Jarvis,76,MID
WHU,Kevin Nolan,75,ATT
WHU,Andy Carroll,77,ATT
WHU,Jussi Jääskeläinen,73,GK
WHU,Joey O'Brien,70,DEF
WHU,James Collins,74,DEF
WHU,Mohamed Diamé,73,MID
WHU,Ricardo Vaz Tê,69,MID
WHU,Joe Cole,75,MID
WHU,ATTrlton Cole,72,ATT
WHU,Antonio Nocerino,75,MID
WHU,Marco Borriello,75,ATT
WHU,Alou Diarra,72,MID
WHU,Roger Johnson,71,DEF
WHU,Pablo Armero,75,DEF
WHU,ATTephen Henderson,69,GK
WHU,Abdul Razak,63,ATT
WHU,Danny Whitehead,60,ATT
WHU,Daniel Potts,60,DEF
WHU,Raphael Spiegel,58,GK
WHU,Sebastian Lletget,58,MID
WHU,Elliot Lee,57,ATT
WHU,Leo Chambers,57,DEF
WHU,ATTllum Driver,55,DEF
WHU,Jordan Brown,54,ATT
STK,Asmir Begović,82,GK
STK,Geoff Cameron,72,DEF
STK,Ryan Shawcross,76,DEF
STK,Marc Wilson,71,DEF
STK,Erik Pieters,72,DEF
STK,Glenn Whelan,73,MID
STK,Peter Odemwingie,71,MID
STK,ATTephen Ireland,75,ATT
STK,ATTeven N'Zonzi,78,MID
STK,Marko Arnautović,76,MID
STK,Peter Crouch,76,ATT
STK,Thomas Sørensen,72,GK
STK,Marc Muniesa,67,DEF
STK,Wilson Palacios,70,MID
STK,Charlie Adam,73,MID
STK,Jonathan Walters,70,MID
STK,Oussama Assaidi,74,MID
STK,Andy Wilkinson,73,DEF
STK,Jack Butland,72,GK
STK,Robert Huth,77,DEF
STK,Matthew Etherington,75,MID
STK,John Guidetti,73,ATT
STK,Ryan Shotton,69,DEF
STK,Brek Shea,69,MID
STK,Jordan Richardson,60,MID
STK,Daniel Bachmann,60,GK
STK,Kevin Gomez-Nieto,60,DEF
STK,James Alabi,60,ATT
STK,Karim Rossi,59,ATT
STK,Charlie Ward,57,ATT
STK,Peter Skapetis,55,ATT
STK,Ben Glasgow,54,DEF
