MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9601,CAR,1,2,CHE,36.8,63.2,3,7,10,28,536,801,317,568,20,21,30,18,3,8,1,2,14,775.406,151.256,269.512,354.638,14,883.673,166.0,315.499,402.174
9602,FUL,2,2,CRY,66.1,33.9,5,6,15,15,717,463,496,249,21,21,33,34,6,4,1,1,14,793.834,182.616,210.218,401.0,14,790.224,144.288,287.936,358.0
9603,HUL,0,2,EVE,43,57,3,4,12,11,627,790,459,623,16,13,26,20,6,4,2,2,14,792.189,216.189,219.0,357.0,14,862.968,173.566,293.402,396.0
9604,LIV,2,1,NUFC,66.2,33.8,5,2,13,8,851,515,673,333,15,19,24,26,6,2,3,2,14,884.043,269.651,220.392,394.0,14,827.956,84.175,294.26,449.521
9605,MCFC,2,0,WHU,68.1,31.9,7,0,28,3,772,431,585,259,17,12,15,34,12,1,2,1,14,912.543,155.313,350.23,407.0,14,808.489,129.325,315.164,364.0
9606,NOR,0,2,ARS,37.7,62.3,5,8,11,14,575,859,405,680,13,18,20,23,4,4,3,1,14,805.636,93.648,341.988,370.0,14,869.152,230.624,252.528,386.0
9607,SOT,1,1,MUFC,58.5,41.5,6,2,15,9,687,569,517,369,14,18,16,35,6,2,0,6,14,830.718,157.239,296.034,377.445,14,883.726,251.335,229.391,403.0
9608,SUN,1,3,SWAN,53.3,46.7,4,4,20,8,598,548,401,344,16,23,25,32,6,3,0,0,14,798.745,76.958,361.257,360.53,14,795.936,278.427,163.175,354.334
9609,TOT,3,0,AVL,54.7,45.3,6,1,12,4,739,639,556,461,17,17,18,20,5,1,7,0,14,841.663,148.0,291.936,401.727,13,800.032,181.18,183.0,435.852
9610,WBA,1,2,STK,43,57,4,4,18,14,549,698,359,496,17,18,17,30,11,6,1,3,14,810.201,166.403,349.5,294.298,14,793.845,85.944,349.901,358.0
9599,MCFC,4,0,AVL,73.3,26.7,9,0,18,5,910,427,739,257,10,16,20,36,7,2,3,0,14,906.219,110.639,388.58,407.0,14,801.892,120.336,221.386,460.17
9600,SUN,2,0,WBA,48.3,51.7,4,3,10,13,617,647,435,467,15,11,19,16,5,0,0,1,14,797.444,72.644,363.8,361.0,14,808.298,216.798,297.5,294.0
9598,MUFC,3,1,HUL,55.3,44.7,7,2,18,2,799,657,637,511,12,20,22,13,8,0,0,1,14,834.715,66.959,437.79,329.966,14,772.178,246.092,209.586,316.5
9597,CRY,3,3,LIV,34.9,65.1,6,8,10,26,517,799,295,608,19,16,21,28,7,7,0,3,14,791.824,93.616,338.208,360.0,13,882.914,247.614,243.3,392.0
