HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
14,862.953,145.582,326.371,391,14,794.428,92.956,342.472,"359
"
14,903.762,251.194,247.568,405,13,790.005,76,360.171,"353.834
"
14,885.686,69.479,416.2,400.007,14,822.834,117.0,295.334,"410.5
"
14,792.495,149.728,382.481,260.286,14,809.854,165.036,342.272,"302.546
"
14,806.012,76,380.992,349.02,14,870.789,199.5,283.958,"387.331
"
14,840.056,192.156,266.9,381,14,820.29,224,224.468,"371.822
"
14,843.247,218.716,242.975,381.556,14,838.788,229.744,231.344,"377.7
"
13,818.864,81.006,375.858,362,13,893.735,146.4,341.335,"406
"
14,811.935,161.658,281.277,369.0,14,761.822,24.898,388.924,"348.0
"
14,815.939,143.055,300.384,372.5,14,787.512,241.964,332.548,"213
"
14,875.002,329.0,155.718,390.284,14,891.731,72.042,496.689,"323
"
14,814.389,207.2,240.189,367,14,813.8,153,364.8,"296.0
"
14,828.806,78,372.9,377.906,13,847.366,122.0,354.366,"371
"
14,847.568,221.41,315.958,310.2,14,878.61,154,325.085,"399.525
"
14,821.473,171.336,342.621,307.516,14,814.11,171.174,344.936,"298
"
14,893.542,155.357,332.185,406,14,882.53,103.093,374.437,"405
"
13,877.175,184.182,286.993,406,14,840.444,153.0,306.444,"381
"
14,825.279,154.067,277.548,393.664,14,840.1,207.9,265.2,"367
"
12,805.671,76.671,300.0,429,14,820.194,95.226,441.968,"283
"
14,796.336,142.666,291.67,362,13,820.53,154.668,290.862,"375
"
14,853.663,219.0,257.663,377,14,827.0,129.782,332.218,"365
"
14,826.666,78,380.055,368.611,14,914.923,99.874,401.781,"413.268
"
14,847.378,191.466,349.912,306,14,820.568,81.853,355.843,"382.872
"
14,810.767,172.001,268.766,370,14,876.982,85,399.49,"392.492
"
13,909.367,95.906,403.461,410,14,884.124,165,313.302,"405.822
"
14,840.369,153,306.369,381,13,880.201,153,294.227,"432.974
"
14,871.568,147.859,321.709,402,14,825.574,129.544,254.966,"441.064
"
13,847.126,79,370.14,397.986,14,803.779,171.66,267.119,"365
"
14,891.146,199.862,283.449,407.835,14,810.61,159.596,281.828,"369.186
"
14,814.637,158.137,398.5,258.0,14,796.712,91.277,343.435,"362
"
14,820.111,84.903,452.208,283,14,833.812,148.134,308.678,"377
"
14,825.711,113.213,344.198,368.3,14,820.345,78,373.345,"369
"
13,812.468,169.458,376.7,266.31,13,800.0,139.728,158.272,"502
"
14,819.677,178.713,265.964,375,14,850.871,227.426,310.3,"313.145
"
14,884.523,242.0,236.523,406,12,825.803,156.0,301.803,"368
"
14,825.656,125.73,255.067,444.859,14,849.688,142.676,320.012,"387
"
13,828.443,78,381.443,369,14,891.43,163.471,317.959,"410
"
14,810.748,74.968,298.78,437.0,13,844.444,92.316,363.128,"389
"
14,787.665,92.7,332.965,362,12,904.674,85,498.674,"321
"
14,835.393,256.484,223.514,355.395,14,817.255,113.333,420.922,"283
"
14,891.473,158.776,310.097,422.6,13,832.332,152,232.332,"448.0
"
14,890.142,166.128,314.014,410,14,828.056,192.5,263.056,"372.5
"
14,876.298,302.906,178.392,395,14,853.932,133.52,365.359,"355.053
"
14,880.904,122.754,353.15,405,14,826.764,77.165,379.599,"370
"
14,852.892,219.959,321.108,311.825,14,820.257,89.856,359.401,"371
"
14,814.892,149.611,382.281,283,14,902.031,93.36,400.671,"408
"
13,850.344,195.5,272.844,382,14,884.749,236.841,241.908,"406
"
14,882.208,167.501,309.707,405,14,833.446,136.92,319.526,"377
"
14,794.392,45.3,387.092,362,14,774.963,174.638,341.557,"258.768
"
14,834.105,153.968,270.537,409.6,14,848.8,152.1,385.7,"311
"
14,883.17,101.428,364.738,417.004,14,905.813,87.16,412.165,"406.488
"
