MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
12494,Man Utd,3,1,Bournemouth,66.3,33.7,5,0,12,7,846,510,677,342,17,16,11,10,7,1,4,2,14,862.953,145.582,326.371,391.0,14,794.428,92.956,342.472,359.0
12485,Arsenal,4,0,Aston Villa,59.6,40.4,7,2,16,5,774,591,609,414,14,13,12,26,5,4,0,0,14,903.762,251.194,247.568,405.0,13,790.005,76.0,360.171,353.834
12486,Chelsea,1,1,Leicester,54,46,4,5,17,18,753,668,525,444,26,24,26,16,7,6,8,0,14,885.686,69.479,416.2,400.007,14,822.834,117.0,295.334,410.5
12487,Everton,3,0,Norwich,45.5,54.5,8,2,15,11,599,650,382,445,18,13,29,28,4,11,1,1,14,792.495,149.728,382.481,260.286,14,809.854,165.036,342.272,302.546
12488,Newcastle,5,1,Spurs,38.5,61.5,10,5,19,18,538,739,351,551,20,21,35,11,3,8,1,1,14,806.012,76.0,380.992,349.02,14,870.789,199.5,283.958,387.331
12489,Southampton,4,1,Crystal Palace,49.8,50.2,5,4,19,16,612,584,396,401,15,11,40,19,2,5,2,1,14,840.056,192.156,266.9,381.0,14,820.29,224.0,224.468,371.822
12490,Stoke,2,1,West Ham,46.7,53.3,4,8,7,20,542,599,355,401,28,10,27,19,4,10,6,2,14,843.247,218.716,242.975,381.556,14,838.788,229.744,231.344,377.7
12491,Swansea,1,1,Man City,50,50,1,5,4,18,676,672,494,496,13,17,27,16,4,4,2,2,13,818.864,81.006,375.858,362.0,13,893.735,146.4,341.335,406.0
12492,Watford,2,2,Sunderland,54.2,45.8,6,4,21,6,615,547,401,346,13,20,26,39,7,4,1,4,14,811.935,161.658,281.277,369.0,14,761.822,24.898,388.924,348.0
12493,West Brom,1,1,Liverpool,32.6,67.4,1,3,13,7,492,813,285,612,22,23,25,23,7,5,1,0,14,815.939,143.055,300.384,372.5,14,787.512,241.964,332.548,213.0
12482,Liverpool,1,1,Chelsea,55.3,44.7,9,7,28,13,768,666,546,446,25,23,19,21,7,3,1,2,14,875.002,329.0,155.718,390.284,14,891.731,72.042,496.689,323.0
12483,Norwich,4,2,Watford,55.6,44.4,6,7,18,12,716,586,495,399,8,29,19,13,5,1,5,3,14,814.389,207.2,240.189,367.0,14,813.8,153.0,364.8,296.0
12484,Sunderland,3,0,Everton,37.7,62.3,8,6,14,17,545,774,352,596,12,19,34,24,5,5,2,1,14,828.806,78.0,372.9,377.906,13,847.366,122.0,354.366,371.0
12481,West Ham,3,2,Man Utd,41.3,58.7,6,2,20,3,538,659,324,473,18,25,14,26,6,2,1,2,14,847.568,221.41,315.958,310.2,14,878.61,154.0,325.085,399.525
12478,Liverpool,2,0,Watford,66.1,33.9,5,3,19,14,756,487,563,271,22,17,24,25,8,8,2,1,14,821.473,171.336,342.621,307.516,14,814.11,171.174,344.936,298.0
12479,Man City,2,2,Arsenal,57.2,42.8,3,2,14,5,747,618,505,383,22,26,28,32,7,2,3,3,14,893.542,155.357,332.185,406.0,14,882.53,103.093,374.437,405.0
12480,Spurs,1,2,Southampton,69.8,30.2,6,2,20,10,803,461,586,257,14,26,25,45,10,2,1,4,13,877.175,184.182,286.993,406.0,14,840.444,153.0,306.444,381.0
12474,Leicester,3,1,Everton,41.3,58.7,8,5,31,9,562,700,340,504,17,24,19,19,12,4,2,1,14,825.279,154.067,277.548,393.664,14,840.1,207.9,265.2,367.0
12471,Aston Villa,0,0,Newcastle,45.9,54.1,0,3,2,9,625,693,409,455,21,17,32,33,0,5,1,1,12,805.671,76.671,300.0,429.0,14,820.194,95.226,441.968,283.0
12472,Bournemouth,1,1,West Brom,68.3,31.7,4,4,12,12,776,463,567,255,24,28,19,16,5,3,1,3,14,796.336,142.666,291.67,362.0,13,820.53,154.668,290.862,375.0
12473,Crystal Palace,2,1,Stoke,57.8,42.2,4,3,17,12,585,462,390,293,8,16,10,27,4,3,1,3,14,853.663,219.0,257.663,377.0,14,827.0,129.782,332.218,365.0
12476,Sunderland,3,2,Chelsea,31.4,68.6,4,8,14,9,450,821,287,652,15,15,9,23,3,3,6,1,14,826.666,78.0,380.055,368.611,14,914.923,99.874,401.781,413.268
